dam,IV,A/E,PRB,PRB2
Soul Lucy GB,2.324,0.605,0.644,0.564
Shadyas Amal GB,0,0,0.827,0.684
Dounasa (FR),2.905,1.12,0.671,0.526
Black Nellie (IRE),0,0,0.503,0.286
Rashmulligan (IRE),0,0,0.483,0.316
Princess Yasmin (USA),0,0,0.504,0.284
Paradise Waters GB,0,0,0.435,0.253
How Provincial (IRE),0,0,0.314,0.124
Taketheblameagain GB,0,0,0.16,0.039
Empress Nicki GB,0,0,0.333,0.122
Gritty Shoon GB,0,0,0.448,0.271
Bell Walks Run (IRE),0,0,0.391,0.263
Be My Hope (IRE),1.291,0.498,0.612,0.471
Sound Hill (FR),0.968,0.568,0.691,0.525
No Notice GB,3.874,4.104,0.671,0.529
Nocturnal Pleasure (IRE),0,0,0.66,0.45
Devil Worship GB,0,0,0.562,0.328
Beautiful Glen GB,0,0,0.427,0.304
Goin Home (IRE),0,0,0.336,0.114
Another Vodka (IRE),1.66,1.177,0.654,0.499
Thank Ones Stars GB,1.66,1.304,0.704,0.551
Rose Of Burnett (IRE),0,0,0.555,0.337
State Princess (IRE),0,0,0.276,0.116
Slightly Latin GB,1.585,1.286,0.647,0.532
Douce Dame (FR),0,0,0.184,0.05
Pollypraid (IRE),1.453,1.151,0.407,0.287
Madame Vitesse GB,3.32,1.586,0.586,0.5
Petted Slave GB,2.905,1.091,0.896,0.813
Woodhouse Bay (IRE),0,0,0.139,0.042
Streets GB,0,0,0.657,0.485
Cromogue Lady GB,3.169,1.899,0.603,0.46
Haypenny (IRE),1.291,1.55,0.442,0.305
Springfort Pride (IRE),0,0,0.35,0.132
Deruma Lady (IRE),0,0,0.234,0.066
Bermuda Castle GB,0,0,0.288,0.208
Light Argument (IRE),0,0,0.504,0.373
Abis Dream GB,0,0,0.376,0.193
Call Me Anna GB,1.66,1.567,0.475,0.353
Swan Bridge (IRE),0,0,0.488,0.243
Shelmalier (IRE),0,0,0.435,0.192
Easter Bee (IRE),0,0,0.233,0.064
Russells Touch GB,0,0,0.23,0.089
Natures Storm (IRE),0,0,0.173,0.034
Understanding (IRE),0,0,0,0
Bridgies Return (IRE),0,0,0.609,0.42
Camdens Gift GB,0,0,0.437,0.219
Isle Of Gales (IRE),0,0,0.395,0.212
Bold Feather GB,0,0,0.475,0.304
Ecyba (FR),0,0,0.45,0.225
Regal Destiny (IRE),0,0,0.093,0.012
Coloured Thyme (IRE),0,0,0.172,0.035
Sally Smith GB,0,0,0.719,0.589
Roses Niece (IRE),1.453,0.794,0.668,0.533
Thevicarsdaughter GB,0,0,0.479,0.275
Ballywilliam Star (IRE),0,0,0.453,0.289
Cherrymentary GB,0,0,0.424,0.19
Linklee (USA),2.905,1.694,0.725,0.642
An Parson Beag GB,0,0,0.861,0.745
Amber Giotto GB,0,0,0.377,0.195
Community Service (IRE),0,0,0.427,0.248
Skin Full GB,0,0,0.564,0.426
Ballamon Girl (IRE),0,0,0.611,0.38
Flame Of Persia (IRE),0,0,0.254,0.093
Amanta (USA),0,0,0.322,0.194
CityjetI (IRE),1.056,0.948,0.528,0.387
Denizliya (IRE),0,0,0.491,0.303
Dj Rose (IRE),0,0,0.622,0.412
Fete De Coeur (FR),3.874,1.715,0.759,0.684
Deep Lass GB,0,0,0.2,0.08
Killiney Rose GB,7.748,2.812,0.667,0.667
Cherry Dancer GB,1.66,1.126,0.437,0.356
Native Ocean (IRE),2.905,1.285,0.905,0.823
Run And Shine GB,2.583,0.901,0.843,0.73
Hello October GB,2.324,1.467,0.652,0.5
Madness In Motion (IRE),0,0,0.543,0.377
Honey Wonder GB,2.324,1.373,0.55,0.43
Ibrah GB,0,0,0.607,0.475
Hard Buns (IRE),0,0,0.579,0.506
Bula Beag (IRE),0,0,0,0
Mrs Battleaxe (IRE),2.905,1.301,0.733,0.616
Shes Pretty GB,1.453,1.449,0.773,0.621
Pede Gale (IRE),0,0,0.357,0.218
Christines Frozen GB,0,0,0.305,0.16
Tequila Sunshine (IRE),0,0,0.6,0.36
Lady Orwell (IRE),0,0,0.392,0.173
May-Ling GB,3.874,3.194,0.781,0.684
Penthouse Pearl GB,0,0,0.11,0.022
Brown Pearl GB,0,0,0.1,0.02
Determined Okie (IRE),0,0,0,0
Fey Rouge (IRE),0.415,0.28,0.534,0.334
Mystery Hill (USA),0,0,0.402,0.237
Adrift (USA),0,0,0.238,0.088
Miss Progressive (IRE),0,0,0.125,0.047
There She Goes (IRE),0,0,0.108,0.017
Lady Luxor (IRE),0,0,0.103,0.029
Helen Belle (IRE),1.056,0.992,0.56,0.38
Siofra Beag GB,1.937,2.11,0.405,0.257
Tullich Refrain GB,0,0,0.521,0.358
Vanille (USA),0,0,0.471,0.311
Nielsine GB,0,0,0.347,0.226
Augusta Victoria GB,0.726,0.529,0.55,0.408
Flash Donna (USA),2.682,1.067,0.732,0.63
One Wild Oat GB,0,0,0.404,0.296
Walinoble (FR),0,0,0.6,0.36
Byliny (IRE),0,0,0.485,0.295
Virginia Cottage GB,0,0,0.53,0.343
Beaded Bubbles GB,0,0,0.136,0.058
Trampship GB,0,0,0.37,0.233
Up She Flew (USA),0,0,0.385,0.19
Bloomfield I (IRE),0,0,0.265,0.141
Turkansa (FR),0,0,0.87,0.76
Nikkis Groom GB,0,0,0.648,0.43
Simply Lucky I (IRE),0,0,0.542,0.389
Lantern Logic (IRE),0,0,0.448,0.274
Olivana I (GER),0,0,0.343,0.134
Sharp Outlook (IRE),0,0,0.15,0.034
Moran Court (IRE),0,0,0.258,0.083
Nice And Simple GB,0,0,0,0
Arctic Crush (IRE),3.169,2.222,0.557,0.431
Bramble Lane GB,0.775,0.605,0.614,0.466
Kill A Dawn GB,0,0,0.713,0.555
Salmoosky (IRE),0,0,0.498,0.303
Aillwee Dawn GB,0,0,0.541,0.31
Well Aware GB,0,0,0.563,0.358
Swift Tide GB,0,0,0,0
Opera Guest GB,0,0,0.458,0.351
Nanny Kehoe (IRE),0,0,0.364,0.187
Parnala (USA),1.788,1.219,0.687,0.525
Amour DOiseau (FR),1.453,0.758,0.797,0.663
Deep Slaney GB,0,0,0.554,0.417
Rising Sara (IRE),0,0,0.54,0.364
Glen Ten (IRE),1.937,2.915,0.432,0.313
Masafiya (IRE),5.811,5.318,0.781,0.658
Lady Moorfield GB,0,0,0.872,0.763
Pallava (USA),1.056,0.602,0.652,0.477
Boya Girl (FR),0,0,0.576,0.436
Mags Dwyer (IRE),0,0,0.694,0.491
Lady Taleca (IRE),0,0,0.523,0.31
A Womans Heart (IRE),0,0,0.555,0.369
Native Lisa (IRE),0,0,0.51,0.322
Queen Of The Gales (IRE),0,0,0.214,0.046
Majestic Mind (IRE),0,0,0.406,0.192
Alpine Venture (IRE),0,0,0.071,0.005
Crystal Ship (IRE),0,0,0.269,0.12
Sushari (IRE),2.905,1.054,0.676,0.616
Keep Bobbin Up (IRE),0,0,0.579,0.38
Cheviot Indian (IRE),0,0,0.665,0.475
Fabulous Fairy (USA),0.775,1.003,0.348,0.199
Argus Gal (IRE),0,0,0.375,0.176
Halvoya GB,0,0,0.609,0.472
Isca GB,0.894,0.516,0.652,0.527
Shayraz GB,0.83,0.663,0.631,0.487
Warrior Wings GB,0,0,0.521,0.335
Niyla (IRE),0,0,0.437,0.271
Vitaba (USA),0,0,0.374,0.201
Dafayna GB,4.358,3.786,0.706,0.583
Manuka Honey GB,0,0,0.204,0.064
Shanira GB,0,0,0.289,0.108
Eleanor Antoinette (IRE),0,0,0.47,0.326
Ezilana (IRE),1.453,1,0.595,0.452
Amendola (FR),0,0,0.1,0.02
Hurgill Lady GB,1.162,0.987,0.566,0.413
Visible Form GB,0,0,0.088,0.016
Laharn Gale GB,0,0,0.688,0.595
Innisfree Lady (IRE),0,0,0.3,0.189
Life Of A Lady I (IRE),0,0,0.662,0.453
Gobolino GB,0,0,0.52,0.324
LuckNGrin (IRE),0,0,0.25,0.111
Daisy Dobson GB,0.83,0.727,0.652,0.494
Duskys Surprise GB,1.453,1.865,0.419,0.254
Maeves Magic (IRE),0,0,0.333,0.222
Markon GB,0,0,0.573,0.37
Miss Riviera GB,0,0,0.604,0.399
Sharp Dance GB,0,0,0.272,0.125
Windbraut (GER),0,0,0.276,0.099
Cats Laugh (IRE),0,0,0.407,0.174
Pollys Glow (IRE),0,0,0.472,0.339
Roundstone Dancer (IRE),0,0,0.419,0.267
Queen Canute (IRE),0,0,0.18,0.043
Dotties Wasp GB,0.968,0.737,0.76,0.604
Lock The Bar GB,0,0,0.623,0.448
Cherry Run GB,0.968,0.72,0.564,0.379
Port Flyer GB,0,0,0.448,0.235
Reason To Believe I (IRE),0,0,0.501,0.314
Angelica Park GB,0,0,0.536,0.373
Mullaghcloga (IRE),1.66,0.996,0.526,0.374
Imperial Greeting GB,0,0,0.437,0.313
Ski Blade GB,0,0,0.768,0.598
Orchard Lass GB,0,0,0.655,0.484
Flighty Ann GB,0,0,0.462,0.213
Time To Kill (IRE),0,0,0.505,0.269
The Furnituremaker GB,0,0,0.231,0.053
Fallen Glass GB,0,0,0.363,0.175
Lite n Easy (IRE),0,0,0.314,0.144
Moscow Tycoon (IRE),1.162,0.491,0.646,0.482
Highly Delighted (USA),0,0,0.528,0.414
Nikiya (IRE),0,0,0.359,0.199
Moira My Girl GB,0,0,0.325,0.175
Bawader (USA),1.162,0.922,0.556,0.395
First Time Round (IRE),0,0,0.294,0.133
Dame Melba GB,0,0,0.071,0.01
Brightside (IRE),1.056,1.012,0.538,0.42
Bold Motion GB,0,0,0.5,0.371
Rotherfield Queen (IRE),0,0,0.36,0.196
Rixe River (USA),0.726,0.64,0.652,0.513
Little Thoughts (IRE),0,0,0.586,0.378
Circling (USA),0,0,0.362,0.15
Chilblains I GB,0,0,0.151,0.029
Pharfetched GB,0,0,0.196,0.129
Calithea (IRE),0.646,0.448,0.624,0.472
Patamar GB,0,0,0.393,0.166
Topmost (IRE),0,0,0.476,0.293
Still River GB,0,0,0.379,0.221
Taras Delight GB,1.55,1.459,0.475,0.341
Ahakista (IRE),0,0,0.119,0.043
Ballet Dancer (FR),5.811,1.863,0.654,0.595
Kellys Bridge GB,0,0,0.596,0.479
Dundovail GB,0,0,0.384,0.236
Big Bugs Bomb GB,0,0,0.594,0.398
Zapata (IRE),0,0,0.457,0.312
Opalkino GB,1.66,1.745,0.459,0.331
Royal Well GB,0,0,0.271,0.145
Rockport Rosa (IRE),0,0,0.167,0.107
Harir GB,2.235,2.177,0.548,0.422
Suprematie (FR),0.646,0.52,0.488,0.338
Leopardess (IRE),0,0,0.553,0.329
Graceful Resign GB,0,0,0.443,0.217
Joyful Tidings (IRE),0,0,0.384,0.218
Interj GB,0,0,0.305,0.185
Montetan (IRE),0.968,1.523,0.472,0.294
Toque De Classe (USA),0,0,0.19,0.055
Deep Rival GB,2.324,1.382,0.762,0.646
Fairy Island GB,0,0,0.596,0.365
Gladonia GB,0,0,0.286,0.082
Que Tranquila GB,1.835,1.032,0.783,0.648
Blue Bouquet GB,0,0,0.378,0.245
Miss Brecknell (IRE),0,0,0.306,0.171
Reasonar GB,0,0,0.505,0.316
Vicenca (USA),0,0,0.234,0.074
Tilbury (USA),0,0,0.411,0.255
Cailin Troda (IRE),0,0,0.44,0.241
Kafus Girl (IRE),1.937,1.571,0.455,0.343
Bint Alsarab GB,1.937,1.148,0.577,0.428
Highbabs GB,0,0,0.525,0.336
Morning Colors I (USA),0,0,0.697,0.499
Roskeen Run (IRE),0,0,0.403,0.191
Autumn Leaves I GB,0,0,0.231,0.056
Quival (USA),2.324,1.892,0.323,0.246
Miss Splendour (IRE),0,0,0.155,0.081
Ushimado (IRE),0,0,0.581,0.381
Lindas Fantasy GB,2.324,1.465,0.816,0.688
May We Dance (IRE),0,0,0.402,0.22
Petite Louie GB,0,0,0.207,0.07
Aines Pet (IRE),1.453,1.512,0.633,0.464
Always Lucky GB,0,0,0.089,0.02
Norenes Nemesis (CAN),0,0,0.495,0.285
Sabayik (IRE),0,0,0.522,0.294
Susies Flyer (IRE),0,0,0.449,0.259
Free To Trade (IRE),0.684,0.722,0.444,0.265
Official Secret GB,0,0,0,0
Cheyenne Spirit GB,2.905,1.958,0.798,0.685
Simulcast GB,0,0,0.554,0.42
Classic Moonlight (IRE),0,0,0.634,0.48
Huraymila (IRE),0,0,0.395,0.189
Queen Of The Grove (IRE),0,0,0.204,0.048
Brief Interval (IRE),0,0,0.14,0.035
Miss Kelly GB,0,0,0.067,0.013
Peneia (USA),1.162,0.616,0.569,0.381
Etiquette GB,0,0,0.214,0.102
Light On Her Toes GB,3.874,3.337,0.609,0.498
Niamh Cinn Oir (IRE),2.905,2.541,0.664,0.521
My Enigma GB,0,0,0.07,0.013
Purty Dancer (IRE),0,0,0.124,0.032
Taiki Venus (JPN),0,0,0.058,0.005
In For It (IRE),0,0,0.726,0.535
Mary Gina GB,0,0,0.345,0.166
Slapoftheballot GB,0,0,0.114,0.027
Rare Cooleen (IRE),0,0,0,0
Arctic Scale (IRE),1.66,0.936,0.61,0.475
Miss Leone GB,0,0,0.432,0.246
Barna Beauty GB,0,0,0.345,0.166
So Stylish GB,0,0,0.335,0.124
Park Cottage (IRE),1.937,0.944,0.515,0.426
Fortlawn Bay (IRE),6.641,2.781,0.766,0.668
Shes Wonderful (IRE),0,0,0.225,0.066
Swing The Lead (IRE),0,0,0.51,0.298
Felicienne (FR),0,0,0.397,0.221
Springtime (IRE),0,0,0.167,0.056
Lyrical Dance (USA),1.937,0.606,0.668,0.531
Sheezalady GB,0,0,0.501,0.3
Private Encore (IRE),0,0,0.692,0.493
Spring About GB,0,0,0.262,0.098
Carnickian (IRE),0,0,0.169,0.044
Comgren (IRE),0,0,0.2,0.057
Elegant Fragrant (IRE),3.169,1.591,0.681,0.541
Beguiled (IRE),0,0,0.412,0.259
Often Ahead (IRE),4.358,3.328,0.738,0.635
Gails Crystal GB,0,0,0.407,0.304
Indiana Bride (IRE),0,0,0.31,0.212
Reflection Time (IRE),0,0,0.502,0.301
Medieval Beauty (IRE),0,0,0.35,0.183
Ale Ale (USA),0,0,0.323,0.139
Lecale Lady GB,0,0,0.467,0.277
Rush For Gold GB,0,0,0.552,0.375
Pollyceva GB,0,0,0.572,0.403
Rose Des Ifs (FR),2.324,1.995,0.608,0.485
Nordic Cousin (IRE),0,0,0.489,0.308
Noras Charm (IRE),0,0,0.376,0.219
Crashlightning (IRE),0,0,0.443,0.256
Katies Castle (IRE),0,0,0.255,0.068
The Noble Sprite (IRE),0,0,0,0
Glenagold (IRE),0,0,0.681,0.499
Creation Lady GB,0.726,0.74,0.625,0.471
Hycrow Leyland GB,1.937,4.515,0.479,0.354
Bell Rocker (IRE),0,0,0.522,0.323
Silent Shot GB,3.32,1.606,0.59,0.466
Sheilas Tycoon (IRE),5.811,5.5,0.538,0.503
Closing Thyne (IRE),0,0,0.732,0.557
Suelemar (IRE),0,0,0.484,0.336
Bridesglen GB,0,0,0.782,0.621
Lauras Pursuit (IRE),0,0,0.466,0.251
Pollyfidra (USA),0,0,0.517,0.303
Come In GB,0,0,0.516,0.275
Shuil Mandy (IRE),0,0,0.209,0.055
Hillcrest Lady GB,0,0,0.149,0.022
Robos Sister (IRE),0,0,0.155,0.031
Lions Den (IRE),3.874,1.924,0.733,0.58
Nocturnal (FR),0,0,0.311,0.166
Cutting Glance (USA),0,0,0.345,0.206
Embers Of Fame (IRE),0,0,0.536,0.481
Hassosi (IRE),1.937,2.331,0.599,0.401
La Duse GB,0,0,0.132,0.033
Alcadia (IRE),0.646,0.503,0.527,0.362
Gloriette GB,0,0,0.265,0.125
Royal Cloak GB,0,0,0.133,0.018
Bitty Mary GB,0,0,0.119,0.016
Sharp Slipper GB,1.291,1.268,0.697,0.576
Jeethgaya (USA),0,0,0.476,0.285
The Realtour GB,0,0,0.431,0.272
Miss Enjoleur (USA),0,0,0.526,0.287
Dariyba (IRE),0,0,0.536,0.372
Mirror Four Life (IRE),1.453,1.287,0.603,0.446
Lady Dulcinea (ARG),1.056,0.699,0.662,0.521
Night Arcade (IRE),0,0,0.122,0.018
Tahdid GB,2.583,1.541,0.614,0.48
Repeat Addition (IRE),2.113,1.995,0.654,0.513
Lough Graney GB,0,0,0.559,0.412
Fairy Glade (IRE),0,0,0.504,0.292
Bold Empress (USA),0,0,0.423,0.263
Dance Treat (USA),0,0,0.125,0.035
Noble Choice GB,2.324,1.698,0.587,0.45
Lochda (IRE),0,0,0.31,0.19
First Born GB,0.684,0.831,0.519,0.347
Sonyas Pearl (IRE),0,0,0.311,0.175
Buonas GB,0,0,0.068,0.013
Spend A Rubble (USA),0,0,0.535,0.362
Forget Annie GB,0,0,0.262,0.145
Tauline GB,0,0,0.427,0.238
Letterfore GB,0,0,0.415,0.288
Drumscap (IRE),0,0,0.425,0.197
Madam Chloe (IRE),0,0,0.116,0.014
Ravaleen (IRE),0,0,0.307,0.164
Tisrara Lady (IRE),2.324,1.813,0.752,0.608
Strong-Galeforce (IRE),0,0,0.468,0.234
My Native Glen (IRE),0,0,0.445,0.232
O Tuk Deep GB,0,0,0.527,0.283
Derrys Lockett GB,0,0,0.364,0.132
Daring Hen (IRE),0,0,0.347,0.126
Cara Deilish GB,0,0,0.128,0.018
Peggy Bull (IRE),0,0,0.045,0.004
Grandpas River GB,0,0,0,0
Badraya (IRE),0,0,0.364,0.185
Clonaslee Treasure (IRE),0,0,0.5,0.255
Trojan Honey GB,0,0,0.154,0.033
Calling Mayday (IRE),0,0,0.095,0.014
Nordic Pageant (IRE),0,0,0.501,0.313
Black Pheasant (IRE),1.291,1.308,0.591,0.472
Strong Penny (IRE),1.937,1.565,0.618,0.509
How Doudo GB,0,0,0.655,0.462
Jims Monkey GB,1.056,0.946,0.723,0.554
Destiny Dance (USA),0,0,0.609,0.477
Coumeenoole Lady GB,0,0,0.396,0.227
Down The Garden (IRE),0,0,0.398,0.179
Persian Desert (IRE),4.358,2.087,0.732,0.623
Singing Oak (USA),0,0,0.358,0.215
Contract Miss (IRE),0,0,0.19,0.085
Yvonnes Princess GB,0,0,0.31,0.165
French Project (IRE),0,0,0.592,0.527
Khaydariya (IRE),0,0,0.588,0.41
Aunt Sadie (USA),0,0,0.483,0.31
Popsickle (IRE),0,0,0.686,0.512
Shuil Athasach (IRE),0,0,0.51,0.292
Hidden Picture (IRE),0,0,0.231,0.075
Agent Scully (IRE),0,0,0.287,0.143
Jennycomequick GB,0,0,0.499,0.34
Damhsa (DEN),0.968,1.101,0.407,0.245
Ilmiyya (FR),0,0,0.1,0.01
Shining Dante (IRE),0.684,0.677,0.593,0.414
Judy Run Home (IRE),0,0,0.175,0.078
Avransha GB,0,0,0.293,0.142
Just Precious GB,1.788,1.403,0.38,0.297
Key Door (IRE),0,0,0.454,0.235
Farewell Song (USA),0,0,0.5,0.25
Mountcatherinerose VII GB,0.581,0.687,0.348,0.206
Sesheta GB,0,0,0.445,0.317
Dozing Sinead GB,7.748,2.283,0.833,0.75
Barna Lass (IRE),2.905,1.191,0.905,0.823
Beaudel GB,0,0,0.722,0.525
Walkers Lady (IRE),0,0,0.588,0.366
Snatchingly GB,0,0,0.671,0.51
Floris GB,0,0,0.283,0.103
Bella Blue GB,0,0,0.171,0.033
Bobbydazzle GB,0,0,0.565,0.418
Millenium Moon GB,1.056,0.696,0.59,0.442
Pipn Judy (IRE),2.905,2.512,0.664,0.48
Fair Princess GB,0,0,0.228,0.071
Paryiana (IRE),0,0,0.45,0.257
Glympse (IRE),2.324,2.523,0.414,0.264
Hiltons Executive (IRE),0,0,0.071,0.02
Last Moon (IRE),1.291,0.945,0.61,0.447
Canverb GB,2.49,1.323,0.778,0.655
Castalino GB,0,0,0.501,0.321
Pollys Cacador GB,0,0,0.584,0.356
Hasty Sarah GB,2.905,2.987,0.356,0.287
Droim Alton Gale (IRE),0,0,0.431,0.242
Audriano (IRE),1.55,0.832,0.746,0.607
Zing Ping (IRE),0,0,0.309,0.132
Dathuil (IRE),2.324,1.022,0.773,0.639
Jenbro (IRE),1.66,1.717,0.495,0.368
Firstrusseofsummer (USA),0,0,0.623,0.425
Wernlas GB,1.056,1.145,0.605,0.402
Oriental Flower (GER),0,0,0.813,0.675
Tarikhana GB,0.894,0.526,0.501,0.373
Wee Sarah GB,0,0,0.36,0.194
Erins Elect (IRE),0,0,0.405,0.223
Patraana GB,0,0,0.424,0.219
Some Pidgeon (IRE),0,0,0.467,0.229
Princess Kila GB,1.937,3.155,0.629,0.433
Rose Of Shannon GB,0,0,0.162,0.031
Smurfette GB,0,0,0.155,0.058
Buninoo (IRE),0,0,0,0
Rare Cloud GB,0,0,0,0
Belleclaire (IRE),1.453,1.029,0.65,0.476
Tasdik GB,0.968,0.91,0.503,0.3
Formaestre (IRE),0,0,0.44,0.244
Missish GB,0,0,0.136,0.037
Cd Super Targeting (IRE),1.453,1.192,0.631,0.492
Native High Line GB,0,0,0.621,0.479
Scotch Stone Girl (IRE),0,0,0.355,0.25
Carbon Five (IRE),0,0,0.288,0.103
Loving Legacy GB,0,0,0.563,0.35
Further Appraisal (IRE),0,0,0.259,0.069
Tiffany Victoria (IRE),0,0,0.347,0.177
Sweeping Brush (IRE),0,0,0.338,0.125
Lashing (USA),0,0,0.248,0.09
Waky Na (IRE),0,0,0.087,0.015
Jabali (FR),2.113,2.533,0.579,0.454
Cathryns Song GB,0,0,0.708,0.553
Centadj (FR),3.874,2.359,0.696,0.591
Virtue Rewarded (IRE),0,0,0.218,0.065
Hello Mary (IRE),11.621,7.5,1,1
Queen Zenobia GB,0,0,0.552,0.362
Universal Star GB,0,0,0.424,0.22
Harlenog (IRE),0,0,0.181,0.048
Pontivy (IRE),0,0,0.313,0.116
Petticoat Rose (IRE),1.162,0.745,0.742,0.59
My Hero (IRE),0,0,0.556,0.359
Soviet Lynk (IRE),1.291,1.17,0.514,0.34
Decadence Star (IRE),0,0,0.613,0.39
With Love GB,0,0,0.334,0.139
Lils Fairy GB,0,0,0.595,0.454
Bluebutton GB,0,0,0.238,0.101
Poly Dancer GB,0.581,0.469,0.53,0.385
Melinte GB,2.682,1.668,0.626,0.507
Clipper Queen GB,0.894,1.349,0.511,0.357
City Imp (IRE),0.612,0.562,0.507,0.339
Sayshar GB,1.788,1.564,0.76,0.623
Express Film GB,0,0,0.655,0.498
All Hush (IRE),0,0,0.601,0.418
Crazyfoot GB,0,0,0.396,0.178
Travel Magic GB,0,0,0.585,0.393
Lochspring (IRE),1.66,1.22,0.637,0.477
In Generosity (IRE),0,0,0.444,0.243
Ludden Lady (IRE),0,0,0.257,0.134
Clasical Influence GB,1.162,0.82,0.782,0.627
Ural Dancer GB,0,0,0.594,0.374
Spinnin Cannon (USA),0,0,0.376,0.142
Mickys Pleasure (USA),0,0,0.433,0.24
River Sunset (USA),2.324,2.145,0.386,0.326
Gentle Guest (IRE),0,0,0.309,0.16
Dame Rose (IRE),0,0,0.674,0.48
Dalwhinnie GB,2.583,1.816,0.761,0.624
Ardee Flo Jo (IRE),0,0,0.357,0.142
Bella Michela (IRE),0,0,0.408,0.211
Loads Of Puff (IRE),0,0,0.209,0.054
Sure To Go GB,0,0,0.274,0.076
Queen Of Erin I (IRE),0,0,0.524,0.335
Lady Tyone (IRE),0,0,0.122,0.016
Bossy Lady (IRE),0,0,0.077,0.012
Royal Cindy (IRE),3.486,2.093,0.825,0.706
Shesadelight GB,2.905,1.846,0.692,0.514
Genial Jenny (IRE),0,0,0.293,0.13
Allzi (USA),0,0,0.165,0.083
Ilia (USA),0,0,0.068,0.011
Yamatake (USA),0,0,0.064,0.007
Notorious (IRE),0,0,0.119,0.03
Just Deserts GB,1.66,1.699,0.56,0.398
Persian Light (IRE),1.453,0.928,0.539,0.419
Derravaragh Rose (IRE),0,0,0.571,0.4
The Marching Lady (IRE),1.162,0.733,0.613,0.417
Accountancy Native (IRE),1.056,1.097,0.473,0.341
Super Tina GB,0,0,0.496,0.277
Eyre Street (IRE),0,0,0.27,0.116
Danzig Withwolves (USA),0,0,0.47,0.282
Benefits Galore (IRE),0,0,0.602,0.366
Tango Two Thousand (IRE),0,0,0.77,0.624
Missing Love (IRE),0,0,0.286,0.082
Silk Cord GB,0,0,0.328,0.145
Imminent (IRE),0,0,0.171,0.03
Gingerly (USA),0,0,0.192,0.067
Spring Trix (IRE),1.937,1.413,0.762,0.633
Corrie Lough (IRE),0,0,0.603,0.428
Pennine Pearl (IRE),0,0,0.601,0.474
Aliceion GB,0,0,0.51,0.325
Mary Gleason GB,0,0,0.398,0.293
Southern Mariner (IRE),0,0,0.359,0.164
Barnabrack (IRE),0,0,0.5,0.25
Rovral Flo GB,0,0,0.258,0.067
Katie Hart GB,0,0,0.214,0.046
Lady Dunsford GB,0,0,0.148,0.022
Manageress GB,0,0,0,0
Tattens GB,0,0,0.222,0.148
High Return GB,2.905,2.431,0.492,0.354
Topad (IRE),0,0,0.383,0.217
Lovely Stranger GB,0,0,0.375,0.159
Flame Of Tara GB,2.324,1.633,0.718,0.541
Supreme Baloo (IRE),0,0,0.482,0.282
Calaloo Sioux (USA),0,0,0.255,0.157
Dulcet Music (IRE),0,0,0,0
Little Lemon GB,0,0,0.628,0.409
Frost Bound GB,0.612,0.528,0.596,0.401
Katakana (USA),0,0,0.33,0.143
Ballinclogher (IRE),0,0,0.226,0.095
Chestnut Park (IRE),0,0,0.311,0.139
Duchess-A-Dee GB,0,0,0.211,0.089
Frosty Morn GB,0,0,0.084,0.008
Sarah Supreme (IRE),0,0,0.083,0.014
Treasure Hope (IRE),1.453,0.63,0.746,0.596
Break For Tee (IRE),0,0,0.487,0.292
Red Riding Hood (FR),0,0,0.457,0.275
Forest Child (IRE),0,0,0.313,0.116
Milady Ana (IRE),0,0,0.239,0.091
Starring Role (IRE),3.874,1.118,0.875,0.786
Poker Dice GB,0,0,0.625,0.479
Baccara (IRE),0,0,0.555,0.348
Dance Up A Storm (USA),0,0,0.65,0.465
Sunless (IRE),0,0,0.647,0.426
Coxs Pippin (USA),0,0,0.421,0.24
Faithfulbond (IRE),0,0,0.379,0.207
Zudika (IRE),0,0,0.285,0.099
Acara (IRE),0,0,0.348,0.188
Savu Sea (IRE),0,0,0.321,0.127
Ribbony (USA),0,0,0.76,0.595
Bold Lillian (IRE),0,0,0.352,0.192
Maidtogroove (IRE),0,0,0.235,0.068
Lady Fairfax GB,0,0,0.157,0.058
Frenzy GB,0,0,0.147,0.024
Marqueterie (USA),0,0,0.357,0.17
Jealous One (USA),2.324,2.979,0.506,0.322
Track Twenty Nine (IRE),0,0,0.279,0.169
Sky Ho GB,1.66,1.025,0.722,0.62
Rose Of Summer (IRE),0,0,0.474,0.314
Dunsford Princess (IRE),0,0,0.119,0.043
Galynn (IRE),0,0,0.677,0.554
Crowenstown Miss GB,0,0,0.278,0.132
Marys Way (GR),0.612,0.569,0.495,0.346
Pickety Place GB,0,0,0.364,0.164
Alexander Goddess (IRE),1.453,1.394,0.531,0.377
Plataea (IRE),0,0,0.485,0.296
Mille Roses GB,0,0,0.038,0.003
Royal Golden (IRE),0,0,0.453,0.245
Amiga Irlande GB,0,0,0.418,0.248
Like My Style (IRE),0,0,0.254,0.1
Twixt GB,0,0,0.445,0.247
Quatrosepti (IRE),0,0,0.099,0.036
Lady Carbron (IRE),2.583,2.175,0.521,0.434
Forgestown GB,0,0,0.269,0.145
Pretty Pretender (IRE),0,0,0.324,0.141
Zsa Zsa (IRE),0,0,0.289,0.092
Song Of Love GB,0,0,0.261,0.08
Charlon GB,0,0,0.143,0.028
Henbitquay (IRE),0,0,0.079,0.01
Golden Award GB,0,0,0.098,0.019
Steady Molly GB,0,0,0,0
Mackem Beat GB,0.684,0.752,0.636,0.465
Miss Rimex (IRE),1.453,1.01,0.526,0.386
MyristicaI (IRE),1.223,0.945,0.584,0.45
