dam,IV,A/E,PRB,PRB2
Madrina GB,0.314,0.439,0.433,0.254
Lady Silk GB,0,0,0.492,0.371
Maid OCannie GB,0,0,0.411,0.244
Bistro (USA),0,0,0.139,0.031
Costa Verde GB,0,0,0.147,0.06
Yellow Ribbon (IRE),0,0,0.347,0.188
Eleonora DArborea GB,1.66,1.518,0.369,0.267
Sail Away (GER),2.905,0.927,0.791,0.676
Handsome Anna (IRE),1.453,0.862,0.53,0.41
Danita (IRE),0,0,0.456,0.272
Sunset Park (IRE),0,0,0.436,0.266
Classic Storm GB,0,0,0.138,0.037
Sharpes Lady GB,0,0,0.235,0.059
Prim N Proper GB,0,0,0.566,0.395
Plie GB,1.788,0.942,0.571,0.419
Kigema (IRE),0,0,0.417,0.276
Treasure Trove I (USA),0.684,0.441,0.588,0.461
Born To Glamour GB,0.387,0.514,0.507,0.344
Lithe Spirit (IRE),0.872,0.745,0.516,0.357
Cal Normas Lady (IRE),1.453,1.158,0.61,0.472
Arme Fatale (IRE),1.162,0.821,0.577,0.423
My Firebird GB,3.32,1.674,0.711,0.601
Shamrock Fair (IRE),0.894,1.062,0.535,0.381
Lady Joyce (FR),1.056,1.083,0.463,0.304
Madame Crecy (USA),1.453,1.286,0.453,0.347
Snowspin GB,0,0,0.316,0.203
Carrie Kool GB,2.113,1.144,0.626,0.486
Cassilis (IRE),2.805,1.475,0.687,0.552
Hiawathas Song (USA),3.169,0.961,0.68,0.575
Fox For Gold GB,0.505,0.747,0.252,0.154
Catherine Clare GB,1.788,1.273,0.592,0.443
Gift Of Glory (FR),0,0,0.408,0.256
Romelia (USA),1.743,1.019,0.531,0.365
Lady Lydia GB,0,0,0.432,0.244
Reine Rouge (GER),0,0,0.141,0.04
Mystic Charm GB,2.905,1.752,0.605,0.452
Mithi Al Gamar (USA),2.905,1.435,0.64,0.511
Miff (USA),0,0,0.026,0.002
Northernmaneuver (USA),0,0,0.224,0.12
Superetta GB,1.162,0.893,0.453,0.311
Zelanda (IRE),0.484,0.356,0.558,0.389
Baharlilys GB,1.291,1.092,0.567,0.413
Portree GB,1.011,0.799,0.601,0.444
Istikbal (USA),0.684,0.642,0.467,0.306
Rosy Sunset (IRE),1.107,0.908,0.583,0.411
Firdaunt GB,0.894,0.886,0.485,0.323
Qualitair Ridge GB,2.324,1.828,0.693,0.571
Frensham Manor GB,1.66,1.228,0.484,0.301
Milly Molly Mango GB,0.83,1.26,0.466,0.313
Jacquelina (USA),0,0,0.415,0.212
Darling Splodge GB,0.861,0.823,0.424,0.292
Verusa (IRE),0,0,0.174,0.061
Pictina GB,0.612,0.571,0.493,0.329
Thamud (IRE),0.528,0.419,0.501,0.34
Glady Sum (GER),0,0,0.722,0.528
Sharpthorne (USA),2.179,1.311,0.664,0.522
Alpencrocus (IRE),0,0,0.286,0.15
Perfect Guest GB,0,0,0.379,0.195
Emans Joy GB,2.905,5.02,0.517,0.413
West Escape GB,0.968,1.774,0.395,0.225
Injaad GB,1.291,0.527,0.768,0.644
Thimbalina GB,0,0,0.332,0.166
Mindomica GB,0,0,0.375,0.239
Bestemor GB,1.202,0.845,0.671,0.516
Serious Contender (IRE),0.775,0.78,0.482,0.354
Gracious Gretclo GB,1.341,1.092,0.551,0.421
Danalia (IRE),1.395,1.331,0.38,0.264
Maiden Pool GB,0.704,0.811,0.549,0.357
Millitrix GB,0,0,0.24,0.078
Old Downie GB,1.453,0.919,0.678,0.53
Cumbrian Melody GB,1.453,1.153,0.408,0.271
Strawberry Song GB,1.453,1.736,0.372,0.239
