trainer,IV,A/E,PRB,PRB2
Nick Littmoden,1.026,0.782,0.499,0.349
Clive Brittain,0.798,0.799,0.475,0.322
Giles Bravery,1.041,1.091,0.455,0.322
Luca Cumani,1.606,0.971,0.556,0.408
John Dunlop,1.57,0.955,0.572,0.424
Harriet Graham,0.694,0.742,0.421,0.287
Patrick Gilligan,1.999,1.32,0.594,0.46
Walter Swinburn,1.326,0.957,0.538,0.384
M J Gingell,0.134,0.314,0.266,0.143
William Jarvis,1.523,1.029,0.578,0.436
Ron Hodges,0.766,0.652,0.506,0.366
Barry Potts,1.236,1.189,0.445,0.322
Brian McMath,0,0,0.268,0.103
Philip McBride,0.792,0.727,0.567,0.409
Michael Blanshard,0.537,0.627,0.449,0.288
Kevin McAuliffe,1.143,1.253,0.479,0.336
Andrew Haynes,0.692,0.788,0.422,0.289
George Margarson,0.542,0.716,0.404,0.25
V Smith,0.713,0.636,0.468,0.314
Dr Jeremy Naylor,0.894,0.937,0.543,0.378
R F Marvin,0,0,0.076,0.015
James Unett,0.565,0.599,0.513,0.351
Peter Chapple-Hyam,1.722,1.006,0.561,0.424
Geraldine Rees,0.612,0.671,0.484,0.324
Dominic Ffrench Davis,0.917,0.849,0.509,0.361
Jim Boyle,1.016,0.827,0.513,0.359
W S Cunningham,1.66,1.754,0.515,0.4
Willie Musson,0.867,0.841,0.529,0.367
J Jay,0.745,0.711,0.466,0.304
William Muir,1.033,0.829,0.545,0.385
Michael Appleby,0.35,0.725,0.312,0.18
Richard Hannon Snr,1.333,0.88,0.55,0.4
Kevin Prendergast,1.211,0.733,0.616,0.458
G P Kelly,0,0,0.252,0.126
Tim McCarthy,0.277,0.403,0.396,0.235
Edward Bevan,0.697,0.712,0.49,0.329
Lucinda Russell,0.499,0.457,0.398,0.265
Kahlil De Burca,0,0,0.289,0.144
Pam Sly,1.3,1.125,0.559,0.422
Tim Butt,0,0,0.303,0.206
Marjorie Fife,0,0,0.245,0.146
Pauline Robson,1.162,0.661,0.524,0.359
Dick Allan,0.447,0.675,0.31,0.183
Michael Smith,3.874,3.235,0.821,0.699
John Upson,0.676,0.873,0.403,0.278
P Needham,0.775,1.451,0.331,0.234
Miss V Scott,1.316,1.283,0.49,0.374
J Clements,0.484,0.678,0.475,0.329
Peter Atkinson,0.553,0.515,0.505,0.374
Ann Hamilton,1.056,0.713,0.556,0.398
Karen George,0.785,0.928,0.479,0.334
Henry Daly,1.469,0.863,0.569,0.43
M Scudamore,0.754,0.633,0.437,0.311
John Gallagher,0.762,0.97,0.438,0.301
Peter Pritchard,0.439,0.39,0.399,0.254
Paul Webber,1.893,1.162,0.539,0.41
Robin Dickin,0.822,0.918,0.398,0.269
S J Gilmore,1.516,1.614,0.41,0.311
C Roberts,0.877,1.105,0.386,0.251
Susan Johnson,0.646,1.422,0.278,0.175
Nigel Hawke,0.591,0.891,0.376,0.246
P S Payne,0.894,1.864,0.28,0.174
Carroll Gray,0,0,0.343,0.189
F Jordan,0.435,0.481,0.444,0.293
John Holt,0.27,0.651,0.271,0.149
Keith Goldsworthy,1.134,0.916,0.48,0.341
Jonjo ONeill,1.66,0.825,0.521,0.405
Michael Madgwick,0.332,0.616,0.395,0.245
Don Cantillon,1.328,0.9,0.528,0.382
Mrs S E Busby,0,0,0.384,0.207
Mrs Barbara Waring,0.505,1.311,0.392,0.229
Pat Murphy,0.668,0.882,0.434,0.284
H J Manners,0.199,0.306,0.313,0.169
David Bridgwater,0.512,0.594,0.431,0.282
T P Walshe,0,0,0.045,0.008
Seamus Mullins,0.777,0.687,0.475,0.337
D P Keane,1.127,0.827,0.438,0.328
Sirrell Griffiths,1.835,1.556,0.561,0.463
John Ryall,1.603,1.355,0.508,0.402
Kevin Bishop,1.006,0.939,0.483,0.355
P C Ritchens,0.505,0.531,0.387,0.27
