jockey,IV,A/E,PRB,PRB2
Jimmy McCarthy,0.542,0.57,0.432,0.295
Jim Culloty,1.196,0.88,0.533,0.407
Mr R McCarthy,0.242,0.286,0.374,0.237
Mr N Kinnon,0,0,0.651,0.45
A Honeyball,0.394,0.539,0.403,0.247
Paddy Brennan,1.385,1.051,0.505,0.37
Tom Malone,1.291,0.978,0.49,0.354
Noel Fehily,1.338,1.006,0.497,0.374
David Dennis,1.179,0.912,0.521,0.382
Andrew Thornton,1.434,1.011,0.486,0.368
Richard Young,0.609,0.608,0.456,0.313
Richard Cosgrave,0,0,0.421,0.311
Mr J Owen,0.553,0.667,0.332,0.195
Jodie Mogford,0.607,0.912,0.386,0.242
Andrew Tinkler,1.056,0.797,0.46,0.344
Mr David Mansell,0,0,0.261,0.171
Wayne Kavanagh,0.56,0.702,0.452,0.302
Adrian Scholes,0.352,0.576,0.368,0.232
Liam Treadwell,0.425,0.608,0.34,0.219
Wayne Jones,0.775,0.545,0.458,0.3
Adam Hawkins,0.704,0.64,0.6,0.431
Lee Stephens,0.96,0.932,0.447,0.314
R P McNally,0.575,0.785,0.341,0.213
Jamie Moore,1.26,0.83,0.521,0.386
Jamie Goldstein,0.763,1.117,0.412,0.277
Patrick C Stringer,0.596,1.027,0.428,0.29
J W Stevenson,0,0,0.31,0.167
Sam Thomas,1.474,0.861,0.536,0.404
Mr Jamie Bunsell,0.968,0.942,0.368,0.265
Keiran Burke,0.56,0.893,0.376,0.248
Mattie Batchelor,1.008,1.084,0.426,0.301
R Walsh,2.574,0.93,0.692,0.571
Mr Simon Walker,1.453,0.839,0.573,0.434
Mr Nick Williams,0.917,0.417,0.423,0.321
Mr M Wilesmith,1.453,2.111,0.49,0.328
Mr S Gray,0,0,0.667,0.467
Rodi Greene,0.367,0.439,0.391,0.256
Mr Richard Collinson,0,0,0.104,0.065
K Olignon,0,0,0.2,0.04
Tom OBrien,1.854,1.59,0.579,0.464
John Kington,0.942,1.067,0.429,0.291
Mr Phillip York,0.581,0.695,0.5,0.322
John Pritchard,0.505,0.675,0.341,0.214
David England,0.894,0.937,0.514,0.425
Mr J Snowden,2.141,1.376,0.56,0.457
Jay Pemberton,0,0,0.26,0.151
Timmy Murphy,1.943,0.91,0.54,0.421
Charlie Huxley,0,0,0.309,0.145
Mr E D Nolan,0,0,0.201,0.113
Daryl Jacob,2.098,1.347,0.543,0.43
Miss Caroline Hurley,2.583,1.485,0.788,0.651
Marc Goldstein,1.182,1.126,0.477,0.339
Miss J Foster,0,0,0.288,0.207
Mr R Hodges,0,0,0.301,0.159
Mr David Turner,0.465,0.801,0.337,0.195
Mr Darren Edwards,1.66,1.907,0.367,0.272
Gerry Supple,0.67,0.893,0.441,0.268
Mr S J Graham,0,0,0.167,0.056
Mr P Collington,0,0,0.558,0.395
Miss Isabel Tompsett,0,0,0.356,0.228
Andrew Glassonbury,0.447,0.4,0.511,0.363
Mr R P Quinn,0.664,0.689,0.457,0.308
Miss C Dyson,0.801,1.827,0.363,0.227
Mr M Wall,0.612,1.354,0.454,0.351
P T Gallagher,0,0,0.448,0.301
E J Cooper,0,0,0.356,0.186
Miss S Sharratt,1.367,1.633,0.516,0.411
Sam Jones,1.291,1.793,0.515,0.371
Miss P M Hearn,0,0,0.537,0.31
Mr David Dunsdon,0.93,0.856,0.498,0.37
Mr C J Sweeney,2.179,1.251,0.569,0.45
Felix De Giles,0,0,0.543,0.387
Mr A J Berry,1.453,0.767,0.587,0.433
Mr C Hughes,0,0,0.425,0.252
Miss E J Jones,0,0,0.447,0.303
Ms Lucy Pearce Rowsell,0.775,1.151,0.294,0.209
Miss E J Tuck,0,0,0.502,0.364
Liam Heard,1.722,0.995,0.573,0.436
Miss L Horner,0.628,0.763,0.438,0.279
Mr M Hooper,0,0,0,0
Mr D J Boland,0.704,0.551,0.542,0.396
James White,0.352,0.361,0.453,0.305
Bernie Wharfe,0.684,1.036,0.392,0.258
Mr Peter Mason,0,0,0.182,0.068
Miss Carey Williamson,0,0,0.252,0.1
Tim Bailey,1.453,1.816,0.266,0.2
Tjade Collier,0.646,1.201,0.349,0.215
Mr Joshua Harris,2.113,2.755,0.434,0.351
Mr Sam Waley-Cohen,1.859,1.054,0.521,0.407
Colin Bolger,0.456,0.57,0.339,0.212
Sam Curling,1.341,1.121,0.512,0.388
Adam Kirby,1.223,0.945,0.534,0.381
Laura Pike,0.528,0.527,0.55,0.386
Alan Daly,0.587,0.755,0.45,0.289
Dean Williams,0,0,0.385,0.226
Frankie Dettori,2.066,0.872,0.603,0.467
J F Egan,1.242,0.962,0.549,0.4
Dane ONeill,1.108,0.928,0.52,0.366
Johnny Murtagh,1.504,0.851,0.622,0.477
Mark Waite,1.937,1.752,0.31,0.215
Pat Cosgrave,0.472,0.53,0.46,0.292
Richard Thomas,0.835,0.935,0.468,0.314
Michael Hills,1.276,0.781,0.566,0.416
Ian Mongan,0.95,0.83,0.491,0.341
Robbie Mills,0.715,0.707,0.485,0.329
Jerry ODwyer,0.306,0.352,0.435,0.254
J S Drynski,0,0,0.475,0.295
Simon Whitworth,0.693,0.791,0.427,0.277
Steve Drowne,1.104,0.846,0.514,0.365
Jamie Jones,0.662,0.722,0.415,0.258
Aurelio Medeiros,0.581,1.016,0.462,0.304
Jimmy Fortune,1.438,0.843,0.58,0.433
Richard Smith,0.194,0.241,0.423,0.267
Wanderson DAvila,0,0,0.192,0.051
Johnny Dekeyser,0.612,0.5,0.592,0.431
R F Keogh,0.676,0.896,0.367,0.225
Paul Doe,0.631,0.794,0.43,0.29
Richard Hughes,1.666,0.951,0.579,0.434
Neil Chalmers,0.462,0.565,0.446,0.277
Tolley Dean,0.436,0.486,0.383,0.242
Brett Doyle,0.623,0.704,0.514,0.355
George Baker,1.344,1.055,0.549,0.403
Robert Havlin,0.935,0.922,0.493,0.338
Amy Baker,1.603,2.188,0.45,0.303
Thomas OBrien,0.453,0.409,0.437,0.272
Stacy Renwick,0.911,1.234,0.425,0.269
Miss Josephine Chini,2.324,2.405,0.597,0.445
Mrs A Cooke,1.66,2.179,0.456,0.331
Miss E A Lalor,1.516,1.633,0.659,0.522
Miss A L Hutchinson,0,0,0.499,0.324
Miss Kelly Burke,1.011,0.811,0.497,0.303
Kelly Harrison,0.83,0.596,0.61,0.439
Miss P Buckley,1.937,1.074,0.546,0.4
Miss Rachel DArcy,0,0,0.607,0.425
Miss A Wallace,0,0,0.434,0.227
Miss K Searby,0,0,0.365,0.152
Miss Faye Bramley,0.968,1.023,0.447,0.306
Miss Lynsey Hanna,0,0,0.567,0.415
Miss Charmaine ONeill,0,0,0.147,0.025
Mrs M Morris,1.937,1.697,0.446,0.354
Miss L Haagensen,3.874,11.431,0.472,0.391
Nelson De Souza,1.6,1.252,0.56,0.41
William Carson,0,0,0.524,0.358
Joseph Walsh,0.567,0.844,0.352,0.205
Fergus Sweeney,0.634,0.693,0.479,0.321
T J Howell,0,0,0.265,0.111
Kieren Fallon,2.361,0.894,0.623,0.49
Steven Harrison,0.415,0.383,0.472,0.318
Esther Remmerswaal,0,0,0.233,0.078
T Quinn,1.311,0.933,0.537,0.388
Laura Reynolds,0.505,0.842,0.442,0.282
Emmett Stack,1.395,1.162,0.477,0.335
Chris Cavanagh,1.107,1.077,0.543,0.354
J D Smith,1.484,1.073,0.572,0.418
Mick Kinane,2.232,0.992,0.585,0.454
Colm ODonoghue,0.715,0.813,0.503,0.346
Richard Rowe,0,0,0.34,0.139
Christophe Soumillon,2.447,1.261,0.626,0.499
Gary Carter,0,0,0.47,0.267
Stephane Pasquier,0,0,0.401,0.163
Marco Monteriso,0,0,0.431,0.287
Christophe-Patrice Lemaire,3.874,2.278,0.599,0.456
David Nuesch,0,0,0.51,0.31
Pat Smullen,1.475,0.747,0.582,0.441
Martin Dwyer,1.327,1.032,0.518,0.37
Fran Berry,1.97,1.15,0.624,0.489
Nash Rawiller,0,0,0.556,0.371
Olivier Peslier,2.324,1.529,0.444,0.34
Andrasch Starke,3.874,2.757,0.759,0.618
Nigel Day,0,0,0.375,0.217
Andreas Suborics,0,0,0.449,0.213
Yutaka Take,0,0,0.833,0.694
Thierry Jarnet,0,0,0.8,0.64
Miss F Cumani,11.621,7.2,1,1
Mrs Emma Littmoden,2.526,1.764,0.675,0.546
Miss J Coward,0,0,0.441,0.301
Miss C Hannaford,0,0,0.51,0.343
Miss L Ellison,0.726,0.709,0.54,0.38
Miss C Baggaley,0,0,0.508,0.32
Mrs Carol Bartley,1.743,1.392,0.489,0.338
Ms N Carberry,2.38,1.079,0.7,0.574
Miss Sarah Perry,0,0,0.239,0.058
Mrs S Bosley,0.581,0.412,0.604,0.42
Kevin Manning,1.195,0.745,0.569,0.415
Mr S Dobson,1.025,0.833,0.457,0.328
Mr R H Fowler,1.516,1.201,0.571,0.461
Jack Mitchell,1.453,1.236,0.487,0.373
Alan Rutter,1.011,0.878,0.598,0.438
Cay Bonhoff,0,0,0.404,0.197
Dr P Pritchard,0,0,0.42,0.256
Oliver Dayman,0.612,1.442,0.352,0.212
Barry Geraghty,1.788,0.859,0.595,0.468
L Metais,0,0,0.482,0.252
Christophe Pieux,0,0,0.333,0.222
Conor ODwyer,1.272,0.71,0.525,0.389
Paul Carberry,2.014,0.924,0.605,0.48
B M Cash,0.46,0.51,0.442,0.291
John Cullen,1.11,0.835,0.527,0.382
D J Casey,1.195,0.752,0.561,0.428
Davy Russell,1.335,0.822,0.573,0.438
G T Hutchinson,0.801,0.725,0.437,0.301
J R Barry,0.572,0.458,0.4,0.282
J P Elliott,0.423,0.435,0.446,0.284
Mr J T McNamara,0.894,0.602,0.523,0.398
Miss P Gundry,2.179,1.189,0.551,0.456
Robbie Power,1.13,0.958,0.508,0.357
Mr R Burton,2.805,1.154,0.671,0.604
Mr A Fitzgerald,0.419,0.359,0.455,0.313
Mr Derek OConnor,1.55,0.805,0.567,0.432
Mr A Wintle,0,0,0.296,0.183
Mr J Jarrett,0,0,0.342,0.203
Mr M J OConnor,1.069,0.781,0.56,0.416
Mr G Weatherley,0,0,0.133,0.053
Mr G Elliott,0.612,0.514,0.45,0.3
Mr R Widger,0.528,0.496,0.425,0.271
Mr K E Power,1.697,1.058,0.581,0.448
Keith Bowens,0.596,0.663,0.514,0.359
Miss Lucy Bridges,0.352,0.337,0.343,0.215
A J Donoghue,0.581,0.613,0.42,0.28
Mr M J OHare,0.758,0.781,0.485,0.37
James OFarrell,0.957,0.992,0.46,0.334
Mr J M Pritchard,0.968,0.706,0.478,0.403
Mr R P Quinlan,0.337,0.31,0.512,0.351
Mr G Hanmer,1.453,1.395,0.317,0.273
Mr D W Cullen,0.581,0.494,0.549,0.42
Denis ORegan,1.071,0.919,0.526,0.377
Davy Condon,0.654,0.575,0.513,0.36
Andrew J McNamara,1.009,0.879,0.547,0.399
Ms A Embiricos,0,0,0.913,0.834
Miss Amaryllis Goschen,1.66,0.946,0.508,0.407
Mr D Kemp,2.905,0.82,0.824,0.7
Mr N Harris,1.66,1.156,0.584,0.49
Mrs Olivia Jackson,0,0,0,0
Mr B Hassett,1.162,1.124,0.412,0.293
Mr J Barnes,0,0,0.239,0.199
Mr Nick Kent,0,0,0.232,0.125
Mr N M Bell,0,0,0.208,0.13
Mr R O Harding,0.456,0.578,0.428,0.272
Vincent Conte,3.32,2.154,0.692,0.555
Mr R Cope,1.66,0.723,0.451,0.371
Mr Rhys Hughes,0,0,0.319,0.203
Miss A de Lisle Wells,0,0,0.311,0.205
Miss C Tizzard,3.67,2.403,0.613,0.514
Miss T Newman,0,0,0.5,0.25
Mr Paul Morris,0,0,0.395,0.192
Mr M Munrowd,0,0,0.28,0.172
Mr J Oldring,0,0,0.449,0.228
Miss T Hayes,0,0,0.167,0.056
Mr R Woollacott,2.905,2.447,0.388,0.334
Miss T Cave,0,0,0.429,0.369
Mr W Hill,2.905,2.102,0.721,0.616
Mr A Puddy,0,0,0.6,0.36
Mr D Barlow,2.324,1.954,0.614,0.494
Andrew Martin,2.583,4.645,0.432,0.364
Mr R Bandey,0,0,0.317,0.179
Mr C Morris,0,0,0,0
Mr J E Tudor,2.021,1.099,0.457,0.399
Mr M Mackley,0.775,0.751,0.39,0.299
Mr J Docker,0,0,0.436,0.286
Miss L Allan,0.83,0.938,0.408,0.273
Mr William Biddick,1.66,1.321,0.469,0.399
Mr Jody Sole,0,0,0.422,0.325
Mr C Gordon,0,0,0.327,0.194
Mr G Kerr,0,0,0.333,0.222
Mr M G Miller,0,0,0,0
Mr T Weston,1.937,0.751,0.505,0.42
Mr M Harris,0,0,0.589,0.52
Miss Tessa Clark,3.32,3.872,0.818,0.692
Mr Geoff Barfoot-Saunt,0,0,0.266,0.142
Nick Oliver,0,0,0.485,0.387
Mrs B Keighley,0,0,0.022,0.002
Mr H Whittington,0,0,0,0
Miss C Stucley,1.937,0.964,0.471,0.371
Miss J Jenner,0,0,0.111,0.025
Mr L R Payter,0,0,0.399,0.232
Justin Morgan,0.517,0.705,0.322,0.2
Martin Ferris,0.222,0.279,0.514,0.343
D F Flannery,0.47,0.543,0.477,0.332
B C Byrnes,0.953,0.951,0.499,0.349
T G M Ryan,1.012,0.85,0.497,0.359
W J Lee,0.498,0.556,0.436,0.286
Mark Walsh,0.663,0.677,0.436,0.299
S M McGovern,1.137,1.022,0.48,0.333
Sean McDermott,0.35,0.451,0.427,0.274
K Hadnett,0.38,0.382,0.451,0.306
