horse,IV,A/E,PRB,PRB2
Play Coy (GB),0,0,0.536,0.288
Moraadi (GB),0,0,0,0
Etijahaat (IRE),0,0,0.176,0.099
Dominello (GB),0,0,0.038,0.003
Aletta (GB),0,0,0.8,0.64
Penny Thoughts (GB),0,0,0.27,0.167
Abeurbe Condita (IRE),0,0,0.455,0.207
Sara Mana Mou (GB),0,0,0.223,0.07
Monte Mayor Lass (GB),0,0,0,0
Mulberry Wine (GB),0,0,0.333,0.111
Son Of Bathwick (IRE),0,0,0.289,0.119
Beau Jazz (GB),0,0,0.067,0.008
Beejay (GB),0,0,0.353,0.188
Tartiruga (IRE),0,0,0.445,0.257
Goodenough Blue (GB),0,0,0.143,0.061
El Giza (USA),0,0,0.331,0.182
Pertemps Job (GB),0,0,0.393,0.266
Indian Well (IRE),0,0,0,0
Beeches Theatre (IRE),0,0,0.311,0.128
Lockstone Lad (USA),0,0,0,0
Jubilee Coin (GB),0,0,0.242,0.14
Von Wessex (GB),0,0,0.471,0.254
Swanky Star (IRE),0,0,0.084,0.013
Legend Of Dance (GB),0,0,0.408,0.276
Innstyle (GB),0,0,0.107,0.013
Winter Moon (GB),0,0,0.205,0.049
Artistic Belle (IRE),0,0,0.466,0.294
Blakeshall Boy (GB),0,0,0.183,0.035
Live Wire Lucy (USA),0,0,0.185,0.055
Patrician Dealer (GB),0,0,0,0
Rainstorm (GB),0,0,0.315,0.108
Scarrots (GB),0,0,0.308,0.095
Blendon Boy (IRE),0,0,0.221,0.086
Princess Zaha (GB),0,0,0,0
Dreamers Lass (GB),0,0,0,0
Stylish Dancer I (GB),0,0,0.265,0.08
Sweet Lorraine (GB),0,0,0.335,0.146
In Fashion (GB),0,0,0.229,0.063
Larking About (USA),0,0,0.435,0.243
Flag Point (IRE),0,0,0.386,0.201
Brandexe (IRE),0,0,0.4,0.245
Elvina Hills (IRE),0,0,0.421,0.255
Huboob (FR),0,0,0.462,0.252
Seasons Parks (GB),0,0,0.433,0.297
Ladood (GB),0,0,0,0
Joy Will Tell You (GB),0,0,0.075,0.009
Indian Kate (GB),0,0,0,0
Benjamin (IRE),0,0,0.1,0.01
Guilds Delight (IRE),0,0,0,0
Indian Lady (IRE),2.324,1.85,0.579,0.403
Succession (GB),0,0,0.111,0.012
Our Time (IRE),0,0,0.139,0.032
Maria Delfina (IRE),0,0,0.617,0.407
Royal Tavira Girl (IRE),0,0,0.273,0.074
Skin Sure Thing (GB),0,0,0.306,0.13
Sunny Haze (GB),0,0,0.083,0.021
Storm Centre (GB),0,0,0.701,0.505
Rill (GB),11.621,2.25,1,1
Maid The Cut (GB),0,0,0.113,0.026
Al Alba (USA),0,0,0.462,0.213
Bajan Parkes (GB),11.621,4,1,1
Waddon (IRE),0,0,0.738,0.545
Danehill Folly (IRE),0,0,0.048,0.005
Jadalee (IRE),3.874,1.383,0.756,0.601
Whitsbury Common (GB),0,0,0.35,0.159
Iwunder (IRE),0,0,0.704,0.502
Northern Secret (GB),0,0,0.071,0.005
Shibumi (GB),0,0,0.033,0.002
Coda Agency (GB),0,0,0.366,0.147
Fearnofoe (IRE),0,0,0,0
Lisfannon (GB),0,0,0.585,0.376
Herring (IRE),0,0,0.833,0.694
Colinette (GB),0,0,0.167,0.028
Stellar Brilliant (USA),5.811,1.765,0.958,0.92
Prithee (GB),0,0,0.717,0.588
Court Ruler (GB),0,0,0.038,0.003
Alinda (IRE),0,0,0.154,0.024
Travolta (GB),0,0,0.538,0.29
El Magnifico (GB),0,0,0.136,0.037
Key Factor (GB),0,0,0.182,0.033
Dashing Dane (GB),0,0,0,0
Cross Ash (IRE),0,0,0.273,0.074
Arawan (IRE),0,0,0,0
Bold Wolf (GB),0,0,0.26,0.099
Super Song (GB),0,0,0.525,0.326
Coco Reef (GB),0,0,0.139,0.058
Light The Dawn (IRE),0,0,0.325,0.143
Prince Prospect (GB),0,0,0.383,0.234
North Point (IRE),0,0,0.072,0.013
Petite Colleen (IRE),0,0,0.3,0.09
Night Pearl (IRE),0,0,0.273,0.074
Gillys General (IRE),0,0,0.1,0.02
Instant Hit (GB),0,0,0.474,0.276
Tewitfield Lass (GB),0,0,0.4,0.16
La Cygne Blanche (IRE),0,0,0.217,0.101
Carmania (IRE),0,0,0.524,0.357
Linzis Lad (GB),0,0,0,0
Frabrofen (GB),0,0,0,0
Herodotus (GB),0,0,0,0
Tahirah (GB),0,0,0.818,0.669
Luce (IRE),0,0,0.429,0.184
Summer Serenade (GB),0,0,0.143,0.02
Atlantic Quest (USA),11.621,3.586,1,1
Labrett (GB),0,0,0.125,0.016
E Minor (IRE),0,0,0.286,0.163
Margold (IRE),0,0,0.381,0.165
Mr Kayos (GB),0,0,0.273,0.074
Delta Shamrock (GB),0,0,0.042,0.003
Namking (GB),0,0,0.458,0.226
The Cross Fox (GB),0,0,0.25,0.062
Heathers Furio (IRE),0,0,0.167,0.028
Another Plan (IRE),0,0,0,0
Buscador (USA),2.324,1.29,0.675,0.545
Argonaut (GB),0,0,0,0
Iftikhar (USA),2.905,1.111,0.766,0.614
Big Smoke (IRE),0,0,0.2,0.04
Fire At Will (GB),1.937,1.781,0.624,0.46
My Place Or Yours (GB),0,0,0.182,0.033
Tashyra (IRE),0,0,0.5,0.25
Tiger Bond (GB),0,0,0.111,0.012
Balalaika Tune (IRE),0,0,0.195,0.049
Maron (GB),0,0,0.091,0.017
Givemethemoonlight (GB),0,0,0.1,0.01
Alcharinga (IRE),0,0,0.375,0.179
Quintillion (GB),0,0,0,0
Danger Bird (IRE),0,0,0.467,0.286
Tipsy Lady (GB),0,0,0.091,0.017
Flaming Eyes (GER),0,0,0.778,0.605
The Fairy Flag (IRE),0,0,0.111,0.012
Kofi (GB),0,0,0.311,0.157
Moon Royale (GB),0,0,0,0
Blakeshall Hope (GB),0,0,0.436,0.268
Along Came Molly (GB),0,0,0.273,0.074
Creme De La Creme (IRE),0,0,0.091,0.008
Spark Up (GB),1.453,0.935,0.616,0.478
Magico (GB),0,0,0.1,0.01
Magical Mimi (GB),0,0,0.213,0.074
Theatre Lady (IRE),0,0,0.727,0.529
Jubilee Prince (GB),0,0,0.233,0.078
Spartan Odyssey (GB),0,0,0.222,0.099
Lady Liesel (GB),0,0,0,0
Bish Bash Bosh (IRE),0,0,0.1,0.01
Monica Geller (GB),0,0,0.727,0.529
Mujkari (IRE),0,0,0.182,0.033
Ms Three (GB),0,0,0.193,0.042
Denise Best (IRE),0,0,0.618,0.382
Errachidia (IRE),0,0,0.083,0.007
Back At De Front (IRE),0,0,0,0
Stedfast McStaunch (IRE),0,0,0.714,0.51
Colour Blind (IRE),0,0,0.056,0.006
Rooks Bridge (IRE),0,0,0.583,0.34
Bells Beach (IRE),0,0,0,0
Gwungy (GB),0,0,0,0
Nikita Sunrise (IRE),0,0,0.056,0.006
Noble Locks (IRE),0,0,0.091,0.008
Dubai Lightning (USA),0,0,0,0
Tayash (GB),0,0,0.05,0.005
Tremane Flyer (IRE),0,0,0.143,0.041
Ellen Mooney (GB),0,0,0.523,0.274
Aveiro I (IRE),0,0,0.551,0.322
Stella Marais (IRE),5.811,20.4,0.5,0.5
Blades Edge (GB),0,0,0.384,0.173
Blue Water (GB),0,0,0.083,0.007
Candy Anchor (FR),0,0,0.667,0.444
Strictly Speaking (IRE),0,0,0,0
Indalo Grey (IRE),0,0,0.845,0.715
Erracht (GB),0,0,0,0
Cils (GB),0,0,0.611,0.407
Jebel Al Tariq (IRE),0,0,0.143,0.02
Forznar Ridge (GB),0,0,0,0
Transylvania (GB),0,0,0,0
Wilson Blyth (GB),0,0,0.182,0.033
Charade (IRE),0,0,0.7,0.49
Ffizzamo Go (GB),0,0,0,0
Tides (GB),0,0,0.091,0.008
College Time (IRE),0,0,0.182,0.033
White O Morn (GB),0,0,0.045,0.004
Calcar (IRE),0,0,0.194,0.058
Bragadino (GB),0,0,0.265,0.188
Atlantic Ace (GB),0,0,0.725,0.526
Al Awwam (GB),2.905,0.864,0.725,0.628
Super Fellow (IRE),0,0,0.667,0.444
Melody King (GB),0,0,0,0
Dark Raider (IRE),0,0,0.182,0.033
Bella Estella (GER),0,0,0,0
Mishka (GB),0,0,0.583,0.34
Voluptuous (GB),0,0,0,0
Mccracken (IRE),0,0,0.083,0.014
Royal Pavillion (IRE),0,0,0,0
Two Of A Kind (IRE),0,0,0,0
Chicago Nights (IRE),0,0,0,0
Storyville (GB),11.621,3.5,1,1
Zagora (IRE),0,0,0.583,0.34
Countrywide Girl (IRE),2.905,2.8,0.686,0.553
Diamond Darren (IRE),0,0,0.128,0.049
Sir Francis (IRE),0,0,0.506,0.342
Mollzam (IRE),5.811,2.942,0.875,0.781
Superior Hand (IRE),0,0,0.475,0.229
Goldbricker (GB),0,0,0.25,0.062
Okoboji (IRE),0,0,0,0
Bold Arrow (GB),0,0,0.083,0.021
Dr Fox (IRE),0,0,0.542,0.309
Its Peggy Speech (GB),0,0,0.333,0.111
So Sure (IRE),0,0,0.227,0.07
Oggy Oggy Oggy (GB),0,0,0.091,0.017
Magic Charm (GB),0,0,0.245,0.082
Earthling (GB),0,0,0.276,0.119
Best About (GB),0,0,0.083,0.007
Healey (IRE),0,0,0.545,0.298
Fighter Command (GB),0,0,0.353,0.145
Red Acer (IRE),0,0,0.111,0.012
Coronilla (IRE),0,0,0.25,0.069
Iola (GB),0,0,0,0
Kathys Job (GB),0,0,0.3,0.09
Shes Enchanted (GB),0,0,0,0
Kings Topic (USA),5.811,3.259,0.958,0.92
BosphorusI (GB),0,0,0.119,0.015
Drumacole Artist (IRE),0,0,0.144,0.023
Rymers Rascal (GB),0,0,0,0
Billie Bunter (IRE),0,0,0.572,0.329
Pride Of Poona (IRE),0,0,0.394,0.176
Kumala Ocean (IRE),0,0,0.278,0.105
Group Ones Hope (GB),0,0,0.091,0.008
Double Emblem (IRE),0,0,0,0
Docklands Dude (IRE),0,0,0,0
Sting In Her Tail (IRE),0,0,0.061,0.011
Coltchester (IRE),0,0,0.318,0.202
Pippilongstocking (GB),0,0,0.094,0.016
Maysboyo (GB),0,0,0,0
Mon Petite Amour (GB),0,0,0.111,0.025
Tresor Secret (FR),5.811,5.326,0.776,0.709
Expulsion (USA),0,0,0,0
Any Offer (IRE),0,0,0.195,0.057
Local Spirit (USA),0,0,0.6,0.36
Look Heres May (GB),0,0,0.117,0.024
City Chancer (IRE),0,0,0.436,0.217
Icey Run (GB),0,0,0.038,0.003
Second Pick (IRE),0,0,0.091,0.008
Africanus (IRE),0,0,0.788,0.635
Pivotal Role (GB),0,0,0.619,0.399
Kissi Kissi (GB),0,0,0.056,0.006
Lady Eversham (GB),0,0,0,0
Bella Plunkett (IRE),0,0,0.358,0.132
Berties Brother (GB),0,0,0.091,0.025
Dizzy Lizzy (GB),0,0,0.261,0.135
Itcanbedone Again (IRE),0,0,0.404,0.172
Top Line Dancer (IRE),0,0,0,0
Mr Rigsby (GB),5.811,2.519,0.523,0.502
Bibury Lodge (GB),0,0,0.292,0.215
Hi Katriona (IRE),0,0,0.42,0.234
Unprecedented (IRE),0,0,0.75,0.562
Mystic Forest (GB),0,0,0.167,0.035
Plum Blossom (GB),0,0,0.343,0.137
Its Alex (IRE),0,0,0.205,0.065
Ci Ci La Femme (GB),0,0,0.21,0.067
Finsbury (GB),0,0,0.727,0.53
Melody Maker (GB),0,0,0.568,0.327
Desert Dust (GB),0,0,0.455,0.212
Without A Paddle (GB),0,0,0.454,0.296
Thats Blue Chip (GB),0,0,0.409,0.219
Threeball (IRE),0,0,0.364,0.14
Little Trinket (GB),0,0,0.095,0.009
Drawback (IRE),0,0,0.6,0.36
Under Fire (IRE),0,0,0.312,0.165
Charleys Aunt (IRE),0,0,0.5,0.25
Zorooni (GB),0,0,0.631,0.433
Adelfia (IRE),0,0,0.727,0.529
Every Bodys Angel (GB),0,0,0.182,0.033
Machhapuchhare (GB),0,0,0.26,0.102
Coconut Moon (GB),2.905,4.398,0.676,0.516
Cookie Cutter (IRE),0,0,0.694,0.53
Slew Charm (FR),0,0,0.091,0.008
Came Back (IRE),0,0,0.4,0.16
Phills Pearl (GB),0,0,0,0
Polar Dancer (GB),0,0,0.636,0.405
Vino (GB),0,0,0.2,0.04
Alistair John (GB),0,0,0.172,0.043
The Rebound Kid (GB),0,0,0.6,0.36
Gentle Peace (IRE),0.726,0.722,0.65,0.477
Baba Ghanoush (GB),3.874,3.244,0.742,0.593
Woodwool (GB),0,0,0.523,0.274
Rapid Flow (GB),0,0,0.364,0.132
Billys Brother (GB),0,0,0.045,0.004
Barachois Gaudy (GB),0,0,0,0
Targer Place (GB),0,0,0.667,0.444
Hows Things (GB),0,0,0,0
After You (GB),11.621,17,1,1
Well Guarded (IRE),0,0,0.889,0.79
Chasing A Dream (GB),0,0,0.778,0.605
Valentino Taffi (GB),0,0,0.157,0.029
Wings Of Speed (GB),0,0,0.128,0.029
Stoneacre Fred (IRE),0,0,0.212,0.069
Hilversum (GB),0,0,0.583,0.34
Loyalist (USA),0,0,0.25,0.125
Arpetcheeo (USA),0,0,0.322,0.109
Bodfari Dream (GB),0,0,0.25,0.069
California Bay (IRE),0,0,0.083,0.007
Born Wild (GER),0,0,0.818,0.669
Digger Girl (USA),0,0,0.091,0.008
Fairytale Of York (IRE),0,0,0.119,0.016
Mad Maurice (GB),5.811,1.456,0.818,0.702
Scorchio (IRE),3.874,3.668,0.626,0.47
Cockney Tai (IRE),1.056,1.357,0.533,0.357
Monashee Gold (IRE),11.621,10,1,1
Spanish Lace (GB),0,0,0.784,0.616
Supa Tramp (GB),0,0,0.583,0.34
Prima Markova (GB),0,0,0.333,0.111
Curbridge Bell (GB),0,0,0,0
John Charles (IRE),0,0,0.9,0.81
Ginger For Pluck (GB),0,0,0.033,0.003
Oriental Way (GR),0,0,0,0
Beauchamp Spark (GB),0,0,0,0
Very Agreeable (GB),0,0,0.818,0.669
De La Rue (USA),0,0,0.727,0.529
Making Moves (GB),0,0,0.591,0.368
True Ruby (GB),0,0,0.364,0.132
Star Crowned (USA),0,0,0.818,0.669
Siwa (GB),0,0,0.727,0.529
Jenise (IRE),0,0,0.636,0.405
Creme Brulee (GB),0,0,0.545,0.298
Bellabelini (IRE),0,0,0.682,0.517
Kartikeya (USA),0,0,0.182,0.033
Lily On A Hill (GB),0,0,0,0
Why Harry (GB),0,0,0,0
Incline (IRE),0,0,0.421,0.25
Demon Docker (IRE),11.621,3.75,1,1
Markington (GB),0,0,0.591,0.368
Duty (IRE),0,0,0.364,0.132
Carmona (GB),0,0,0.273,0.074
Epaminondas (USA),0,0,0,0
Newsround (GB),0,0,0,0
Whatizzit (GB),5.811,1.719,0.955,0.913
Being There (GB),0,0,0.455,0.207
Kinetic Power (IRE),0,0,0.364,0.132
Dance A Daydream (GB),0,0,0.273,0.074
Artists Touch (IRE),0,0,0.091,0.008
Tinas Magic (GB),0,0,0,0
Lady Gregory (IRE),0,0,0.919,0.844
Tara King (GB),0,0,0.6,0.36
Blackbury (GB),0,0,0.229,0.095
Skelligs Rock (IRE),0,0,0.145,0.024
Taj India (USA),0,0,0.05,0.005
Arthurs Legacy (GB),0,0,0,0
Glenree (GB),0,0,0.56,0.402
High Policy (IRE),0,0,0.2,0.04
Secret Dell (IRE),0,0,0,0
Mustgodowntothesea (IRE),0,0,0.228,0.083
Imperatrice (GB),0,0,0,0
Higher Option (IRE),0,0,0.612,0.379
One More Round I (USA),0,0,0.29,0.127
Summertime Parkes (GB),0,0,0.818,0.669
Sorrel Point (GB),0,0,0.273,0.074
Kissimee (GB),0,0,0.045,0.004
Bentong (IRE),11.621,6,1,1
Flying Rani (IRE),0,0,0.778,0.623
Malakiya (IRE),0,0,0.468,0.247
Billy Bling (IRE),0,0,0.409,0.335
Perez (IRE),0,0,0.909,0.826
Duxford (GB),0,0,0.818,0.669
Hilltop Fantasy (GB),0,0,0.727,0.529
John Bratby (USA),0,0,0.636,0.405
Strobinia (IRE),0,0,0.545,0.298
Belrose (IRE),0,0,0.091,0.008
Livvies Lady (IRE),0,0,0,0
Smoothie (IRE),0,0,0.318,0.202
Radiator Rooney (IRE),0,0,0.511,0.309
Ocean King (USA),0,0,0.52,0.339
Trew Flight (USA),0,0,0.178,0.041
Hometomammy (GB),0,0,0.182,0.033
Fisher Bridge (IRE),0,0,0.727,0.529
Jumanji (IRE),0,0,0.432,0.191
Putra Sas (IRE),0,0,0,0
Dream Champion (GB),0,0,0.909,0.826
Country Affair (USA),0,0,0.709,0.515
Questive (GB),0,0,0.455,0.207
Frantastik Lady (IRE),0,0,0,0
Heartcrusher (IRE),1.937,2.497,0.588,0.417
Dayoff (IRE),0,0,0.301,0.171
Flaming Shot (IRE),0,0,0.308,0.119
White Ledger (IRE),0,0,0.25,0.062
Cragganmore Creek (GB),11.621,23,1,1
Nopleazinu (GB),0,0,0.167,0.028
Miss Lopez (IRE),0,0,0.636,0.405
Alice Amelia (GB),0,0,0.273,0.074
Kokila (GB),0,0,0.75,0.562
Chorus Beauty (GB),0,0,0,0
Beautiful Noise (GB),0,0,0.409,0.193
Rambo Blue (GB),0,0,0,0
Level Par (IRE),0,0,0.833,0.694
Settle (IRE),1.291,1.389,0.62,0.428
Silvabella (IRE),0,0,0.364,0.132
Marron Flore (GB),0,0,0,0
Keelings Donabate (GB),0,0,0.333,0.111
Skye Boat Song (GB),0,0,0.167,0.028
Rossbeigh (IRE),0,0,0.808,0.657
Dream Forest (IRE),0,0,0.25,0.062
Skyscape (GB),2.583,1.667,0.604,0.486
Grecian Gold (IRE),0,0,0.917,0.84
Self Discipline (GB),0,0,0.071,0.01
Requiem (USA),0,0,0.118,0.014
Libgatt (IRE),0,0,0.497,0.335
Maidford (IRE),0,0,0,0
Oscar Snowman (GB),0,0,0.7,0.49
Life Peer (GB),0,0,0.116,0.017
Wavertree Dream (GB),0,0,0,0
Scriptwriter I (IRE),11.621,2.792,1,1
Red Bullet (GB),0,0,0,0
Golden Sprite (GB),0,0,0.524,0.327
Alasao (GB),0,0,0.133,0.018
Dublin Dice (IRE),0,0,0.25,0.062
Retina (SWI),0,0,0.258,0.067
Encora Bay (GB),0,0,0.889,0.79
Red Warning (GB),0,0,0.143,0.02
Oneiro Way (IRE),0,0,0.714,0.51
Art Royal (USA),0,0,0.75,0.574
Ample Note (GB),0,0,0.357,0.128
Gregs Girl (GB),0,0,0.065,0.007
Comcatchini (GB),0,0,0,0
Polar Tryst (GB),0,0,0.25,0.062
Cheney Hill (GB),0,0,0.455,0.207
Royal Devon (IRE),0,0,0.197,0.049
Kerryskick (GB),0,0,0.576,0.37
Youre My Son (GB),0,0,0.05,0.005
Ten To The Dozen (GB),0,0,0.909,0.826
Aristofilia (GB),0,0,0.806,0.65
Kahlua Kiss (GB),3.874,6.637,0.516,0.386
Temperance (IRE),0,0,0.292,0.128
Mrs Snaffles (IRE),2.324,1.799,0.768,0.63
Manyana (IRE),0,0,0.571,0.327
Wassfa (GB),0,0,0.635,0.421
Tempsford Flyer (IRE),0,0,0.632,0.416
Kalatime (IRE),0,0,0.415,0.207
Arpa (IRE),0,0,0.429,0.184
Gordonsville (GB),0,0,0.75,0.562
Dubai Melody (USA),0,0,0.583,0.34
Tufton (GB),5.811,2.368,0.929,0.867
Gouranga (GB),0,0,0.833,0.694
Clap (GB),0,0,0.071,0.005
Middlethorpe (GB),0,0,0.445,0.214
Magic Mistress (GB),0,0,0.222,0.049
Made In Montot (FR),0,0,0.125,0.031
Tresor De Mai (FR),0,0,0.273,0.074
Gallery God (FR),0,0,0.846,0.716
Samon (GER),0,0,0,0
Meggies Gamble (IRE),0,0,0,0
Dunshaughlin (IRE),0,0,0.589,0.373
Skippers Cleuch (IRE),0,0,0.25,0.062
Not Yet Decent (IRE),0,0,0,0
Royal Jake (IRE),0,0,0.385,0.148
Act In Time I (IRE),0,0,0.231,0.053
Perange (FR),0,0,0.154,0.024
Don Royal (GB),2.905,3.854,0.438,0.391
Maximinus (GB),0,0,0.453,0.277
First Love (GB),0,0,0.348,0.154
Greenfield (IRE),0,0,0.657,0.544
Principe Azzurro (FR),0,0,0.768,0.59
Acacia Avenue (IRE),0,0,0.607,0.38
See Me (GB),0,0,0.475,0.244
Villa Mara (IRE),0,0,0.202,0.048
Durnovaria (IRE),0,0,0.153,0.03
Star Diver (FR),0,0,0,0
Jongleur Collonges (FR),0,0,0,0
Carbury Cross (IRE),0,0,0.714,0.51
Shining Lights (IRE),2.905,1.184,0.462,0.429
Indien Du Boulay (FR),0,0,0.857,0.735
Tales Of Bounty (IRE),5.811,2.316,0.857,0.755
Starting Again (GB),0,0,0.429,0.184
Midnight Lord (IRE),0,0,0.143,0.02
Lord Kilpatrick (IRE),0,0,0,0
Castleboy (IRE),0,0,0,0
Lord Buckingham (GB),0,0,0,0
Telimar Prince (IRE),0,0,0,0
Merger (USA),0,0,0.631,0.5
Translucid (USA),0,0,0,0
Bertrose (GB),0,0,0.406,0.174
Ragdale Hall (USA),0,0,0,0
Tolpuddle (IRE),2.324,1.531,0.612,0.453
Quiff (GB),0,0,0.571,0.327
Caughnawaga (FR),0,0,0,0
Daughters World (GB),0,0,0.211,0.082
Miss Trial (GB),0,0,0.417,0.236
Tomobel (GB),0,0,0,0
North Light (IRE),0,0,0.75,0.562
Jalwada (GB),0,0,0.681,0.512
Arturius (IRE),5.811,1.418,0.8,0.68
Air Commodore (USA),0,0,0.5,0.25
Liger (GB),0,0,0,0
Night Of Joy (IRE),0,0,0.127,0.024
Jewel In The Sand (IRE),0,0,0.8,0.64
Cockatoo (USA),0,0,0.231,0.053
Farringdon (GB),0,0,0.154,0.024
Altieri (GB),0,0,0.667,0.444
Diamond Green (FR),0,0,0,0
Glorious Step (USA),0,0,0,0
Walkonthewildside (GB),11.621,4.444,1,1
Gallantry (GB),2.905,1.359,0.502,0.379
Light Scent (USA),0,0,0,0
Macabre (GB),0,0,0.7,0.5
Mullagh (IRE),0,0,0,0
Mr Garston (GB),11.621,3.75,1,1
Juror I (USA),0,0,0.933,0.871
Katy Jem (GB),0,0,0.364,0.132
Kahira (IRE),0,0,0.182,0.033
Highland Blaze (USA),0,0,0,0
Danse Macabre (IRE),0,0,0.722,0.602
Heres Johnny (IRE),11.621,3.75,1,1
Art Virginia (FR),0,0,0.845,0.715
Wenlocks Wonder (GB),0,0,0.286,0.082
Joyryder (GB),0,0,0,0
Spidam (FR),5.811,1.585,0.9,0.82
Latimers Place (GB),2.905,1.409,0.608,0.514
Sea Drifting (GB),0,0,0,0
Pablo Du Charmil (FR),0,0,0.833,0.694
Derivative (IRE),0,0,0.727,0.529
Adopted Hero (IRE),0,0,0.458,0.42
Feathard Lady (IRE),11.621,2.8,1,1
Sunrise Spirit (FR),0,0,0.25,0.062
Fergal The Piler (GB),0,0,0.5,0.25
Christy Jnr (IRE),0,0,0.125,0.031
Dark Cut (IRE),0,0,0,0
Indian Laburnum (IRE),0,0,0.534,0.364
Potoffairies (IRE),0,0,0.222,0.099
Magenko (IRE),0,0,0.111,0.012
Highland Island I (GB),0,0,0,0
Super Sammy (GB),2.324,1.315,0.462,0.397
Lord Pat (IRE),0,0,0.286,0.163
Waltham Dove (GB),0,0,0,0
Prince Of Perils (GB),0,0,0,0
Solway Flo (IRE),0,0,0,0
Wynbury Flyer (GB),0,0,0.429,0.184
Its Harry (GB),0,0,0.264,0.117
Radar (IRE),0,0,0.571,0.327
Belter (GB),0,0,0.451,0.23
Sir Lamb (GB),0,0,0.331,0.2
Clichy (GB),0,0,0.318,0.155
Modulor (FR),0,0,0,0
Gus Berry (IRE),0,0,0,0
Joe Di Capo (IRE),0,0,0,0
Commanche Spirit (IRE),0,0,0,0
Tory (IRE),0,0,0.111,0.025
Over To Joe (GB),0,0,0.337,0.151
Noble Teviot (GB),0,0,0.263,0.072
French Tune (FR),0,0,0.456,0.248
Wiseguy I (IRE),0,0,0.667,0.444
Alderclad Lad (IRE),0,0,0,0
Le Mino (FR),0,0,0,0
Ballinclay King (IRE),0,0,0.083,0.021
Adolphus (IRE),0,0,0.818,0.669
NaturalI (IRE),3.874,3.231,0.731,0.571
Whitley Grange Boy (GB),0,0,0,0
Sparkey Smith (IRE),0,0,0,0
Jimmy Blues (GB),0,0,0,0
Lagosta (SAF),0,0,0.2,0.04
The Hill (IRE),0,0,0.36,0.222
Mer Bihan (FR),0,0,0,0
Saddlers Mark (GB),0,0,0.475,0.306
Southbound (IRE),0,0,0,0
Amjad I (GB),0,0,0,0
Paddy George (IRE),0,0,0.583,0.34
Maddy The Hatter (GB),0,0,0.117,0.015
Callitwhatyoulike (GB),0,0,0,0
Yellow Soil Star (IRE),0,0,0.654,0.435
Compton Princess (GB),0,0,0.25,0.062
Danteco (GB),0,0,0.6,0.399
Taleban (GB),0,0,0.333,0.14
Little John (GB),0,0,0,0
Destino (GB),0,0,0.714,0.51
Ignotus (GB),0,0,0.818,0.669
French Gold (GB),0,0,0.423,0.249
Oblivious (GB),0,0,0.075,0.009
Marton Mere (GB),0,0,0,0
Victorias Pet (GB),0,0,0,0
Fairly Glorious (GB),0,0,0,0
Noels Pride (GB),0,0,0.333,0.222
Victor One (IRE),0,0,0.333,0.111
Joey Dunlop (IRE),0,0,0.288,0.09
An Dun Ri (IRE),0,0,0.272,0.123
Mister Frog (FR),0,0,0.833,0.694
Solway Raki (GB),0,0,0.208,0.087
What A Blaze (IRE),0,0,0.125,0.031
Canada Street (IRE),0,0,0.917,0.84
Springaway (GB),0,0,0.833,0.694
Northern News (IRE),0,0,0,0
Red Wharf (GB),0,0,0,0
Giveasummerdance (IRE),0,0,0.131,0.053
Rolling River (IRE),0,0,0.264,0.14
San Peire (FR),0,0,0.713,0.581
Louisville (IRE),0,0,0.148,0.044
Sabreflight (GB),0,0,0.9,0.81
Forty Shakes (IRE),0,0,0.3,0.09
Bohemian Brook (IRE),0,0,0.555,0.344
Theatre Knight (IRE),11.621,7,1,1
Dannymolone (IRE),0,0,0.269,0.145
Vital Spark (GB),0,0,0,0
Corbie Lynn (GB),0,0,0.463,0.214
Nine De Sivola (FR),5.811,3.217,0.688,0.641
Team Resdev (IRE),0,0,0.05,0.005
Compo (IRE),2.113,1.547,0.703,0.575
Atlantic Point (IRE),0,0,0,0
Weapons Inspector (IRE),11.621,8,1,1
High Cotton (IRE),0,0,0.8,0.64
Junior Des Ormeaux (FR),0,0,0,0
Buachaill Eile (IRE),3.874,2.263,0.726,0.609
Square Dealer (GB),0,0,0.374,0.155
Dolans Bay (IRE),0,0,0.465,0.223
Kicking Bear (IRE),0,0,0.216,0.055
Colonel James (IRE),0,0,0,0
Gold Flo (IRE),2.905,2.421,0.727,0.564
Captain Mac (IRE),1.291,1.112,0.64,0.441
Tushna (IRE),0.968,0.623,0.624,0.473
Dark Character (GB),0,0,0.386,0.299
Kinburn (IRE),11.621,4,1,1
Ryders Storm (USA),0,0,0.9,0.81
Le Millenaire (FR),0,0,0.4,0.16
Huggin Mac (IRE),0,0,0,0
Dispol Holly (GB),0,0,0,0
Oxford Street Pete (IRE),0,0,0,0
Lady Indiana (IRE),0,0,0,0
Efiacto (GB),0,0,0.125,0.016
Sadie (GB),0,0,0,0
Kamenka (GB),0,0,0.308,0.146
Gulf Of Mexico (USA),0,0,0.4,0.16
Grandos (IRE),0,0,0.379,0.226
Roches Fleuries (IRE),0,0,0.227,0.103
Dont Sioux Me (IRE),0,0,0.083,0.014
Pound Sign (GB),0,0,0.617,0.427
Wind Shuffle (GER),0,0,0.333,0.111
Lovingly (GB),0,0,0.286,0.082
Princess Cocoa (IRE),0,0,0.264,0.084
Veiled Applause (GB),0,0,0.496,0.249
Virtue (GB),5.811,2.401,0.76,0.719
Distant Vision (IRE),0,0,0.451,0.23
Activity (IRE),0,0,0.538,0.29
Penneeck (GB),0,0,0.619,0.43
