horse,IV,A/E,PRB,PRB2
Cool Chilli (GB),2.324,1.812,0.487,0.362
Compadre (GB),0,0,0.705,0.533
Gaucho I (GB),0,0,0.271,0.15
Proper Poser (IRE),0,0,0.124,0.042
Our Lawman (GB),0,0,0.143,0.041
Jeropino (IRE),0,0,0.4,0.32
Fernenst You (IRE),0,0,0,0
Coy Lad (IRE),0,0,0.882,0.779
Leadaway (GB),0,0,0.824,0.678
Signed And Dated (USA),0,0,0.565,0.401
Only Words (USA),0,0,0.505,0.311
Diamond Vein (GB),0,0,0.289,0.163
Smarty Boots (IRE),0,0,0.304,0.103
Comfortable Call (GB),0,0,0.252,0.167
Rainbow River (IRE),0,0,0.172,0.04
Savannah River (IRE),0,0,0.305,0.151
Win Alot (GB),0,0,0.191,0.064
Gemineye Lord (IRE),0,0,0,0
Sir Alf (GB),5.811,5.526,0.583,0.514
Imps Way (GB),3.32,2.293,0.775,0.706
Mydante (IRE),1.937,0.981,0.532,0.395
Sams Way (GB),0,0,0.697,0.487
Orleans (IRE),0,0,0.212,0.135
Diamond Monroe (IRE),0,0,0.545,0.298
Jupiters Fancy (GB),1.66,3.703,0.397,0.298
Farington Lodge (IRE),0,0,0.479,0.41
Dinan (IRE),0,0,0.067,0.013
Kings Boy (IRE),0,0,0,0
Oscar Pepper (USA),0,0,0.191,0.091
Alittlebitopower (GB),0,0,0.276,0.115
Coolawarra (IRE),3.874,5.1,0.475,0.364
Hialeah (GB),0,0,0.578,0.386
Jeringa (GB),3.874,2.207,0.856,0.744
Cloudless Dawn (GB),1.66,1.539,0.792,0.642
Bellaney Jewel (IRE),5.811,3.245,0.654,0.595
Major Royal (FR),0,0,0.37,0.171
Up In The Sky (IRE),0,0,0.154,0.071
Solemn Vow (GB),0,0,0.335,0.12
Briery Lane (IRE),0,0,0.546,0.358
Crackington (FR),0,0,0.126,0.021
Daniels Dream (GB),0,0,0.198,0.068
Sure Rhythm (GB),0,0,0,0
Spring Breeze (GB),3.486,1.381,0.81,0.699
Paradise Flight (IRE),2.905,1.927,0.767,0.647
Toni Alcala (GB),0,0,0.652,0.464
Establishment (GB),0.968,1.346,0.559,0.368
All Bleevable (GB),0.684,0.694,0.548,0.381
