damsire,IV,A/E,PRB,PRB2
Top Star,0,0,0.465,0.289
Prominer,0.726,0.6,0.548,0.415
Oakland,0,0,0.284,0.173
Arctic Slave,1.66,0.799,0.388,0.274
Carlburg,1.55,1.088,0.495,0.344
King Luthier,0,0,0.381,0.208
Colombian Friend,0,0,0.778,0.606
Mcindoe,11.621,4.5,1,1
Solford,0.684,0.349,0.468,0.362
Starch Reduced,1.056,1.072,0.501,0.337
Mugatpura,0.646,0.6,0.451,0.334
Tiffauges,0,0,0.408,0.255
Liberated,2.324,0.637,0.83,0.703
News Item,0,0,0,0
Carvin II,0,0,0.278,0.154
Mycropolis,0,0,0,0
Pimpernels Tune,0,0,0.487,0.361
The Judge,0,0,0.438,0.191
Buzzards Bay,0,0,0.5,0.25
Princely Native,0,0,0.358,0.193
The Malster,0,0,0.444,0.395
Batonnier,0,0,0.643,0.413
Touch Of Grey,0,0,0.091,0.025
Warcraft I,0,0,0.6,0.417
Rock Chanteur,1.162,0.904,0.541,0.383
Sweet Revenge,0,0,0.941,0.886
Trombone,0,0,0.529,0.28
Rabdan I,0,0,0.235,0.055
Otehi Bay,0,0,0.121,0.015
Coliseum I,0,0,0,0
Distinct Native,0,0,0.302,0.104
Modern Dancer,0,0,0.436,0.239
Omnicorp,3.874,2.353,0.807,0.684
Quain,0,0,0.133,0.053
Lucky Look,0,0,0.624,0.496
Crozier,0,0,0.37,0.222
Abutammam,0,0,0.133,0.053
Trigon,0,0,0.25,0.125
Whitstead,0,0,0,0
Mister RockS,0.775,0.397,0.581,0.438
Caribo,1.202,0.942,0.51,0.358
Tres Gate,0,0,0,0
Tagel,0,0,0.406,0.26
Up And At Em,0.726,0.678,0.499,0.379
Zampano,0,0,0.119,0.023
Sparkling Boy,0,0,0.479,0.342
Hostage,0,0,0.556,0.309
Huntercombe,0,0,0.634,0.443
Hector Protector,0,0,0.696,0.562
Nashamaa,0.908,0.699,0.52,0.377
Fly Till Dawn,0,0,0.214,0.046
Bahri,1.937,1.391,0.577,0.465
Latest Model,5.811,2.029,0.706,0.585
Gummo,0,0,0.252,0.064
Tough Critic,0,0,0.626,0.392
Potrillazo,0,0,0.812,0.664
Dr Geo Adams,0,0,0.726,0.538
Freedoms Choice,0,0,0.088,0.016
Southern Music,0,0,0,0
Cupids Dew,0,0,0.458,0.21
Bad Conduct,2.905,1.847,0.405,0.346
Dunphy,0,0,0.376,0.21
Morston,0,0,0.372,0.214
Kingdom Bay,1.056,0.905,0.538,0.363
Skywalker,1.516,0.984,0.609,0.453
Call Report,0,0,0.271,0.13
Cryptoclearance,0,0,0.359,0.167
Desert Story,0,0,0.292,0.174
Foxhound,0,0,0.195,0.067
Kabour,0,0,0.45,0.299
Straight Strike,0,0,0.098,0.019
Risen Star,0.775,0.577,0.591,0.423
Homme De Loi,3.874,4.679,0.534,0.421
Waquoit,1.162,0.898,0.448,0.349
Salutely,0,0,0.101,0.01
Carnivalay,0,0,0.574,0.333
Solo Dancer,0,0,0.333,0.111
Gairloch,0,0,0,0
Drone,0,0,0.364,0.264
Monseigneur,0,0,0.223,0.105
Ridan,0,0,0.011,0.001
Leeds,3.874,1.063,0.639,0.613
Highland Park,0,0,0.287,0.133
Dusky Boy,0,0,0.031,0.002
Cosmopolitan,0,0,0.417,0.181
Chance Meeting I,0,0,0.325,0.146
Cornuto,0,0,0,0
Lidhame,1.453,1.008,0.604,0.43
Turn Back The Time,0,0,0.909,0.826
Ashford,0,0,0.083,0.014
Nicholas,0.83,0.476,0.579,0.41
French Stress,3.32,1.653,0.766,0.65
Euro Star,4.358,3.218,0.646,0.544
Run The Gantlet,0.968,1.284,0.332,0.227
Sauce Boat,0,0,0.303,0.153
Winds Of Light,0,0,0.417,0.174
The Great Shark,0,0,0.333,0.111
Arrasas,0,0,0.161,0.03
High Kicker,0,0,0.091,0.008
Kaljerry,2.905,3.073,0.592,0.42
Frere Basile,0,0,0.237,0.061
Strike The Gold,0,0,0.558,0.354
Crusader Sword,0,0,0.227,0.103
Easter Sun,0,0,0.214,0.09
Orfano,0,0,0.102,0.022
Wadood,1.937,1.205,0.58,0.47
Extra,0,0,0,0
Kokand,0,0,0.627,0.49
Elliodor,0,0,0.171,0.03
Solarstern,0,0,0.41,0.268
Definite Article,0,0,0.417,0.174
Lit De Justice,0,0,0.157,0.039
Pine Bluff,0,0,0.714,0.51
Phountzi,0,0,0.038,0.003
Dr Devious,1.66,0.91,0.747,0.614
Steinbeck I,0,0,0.308,0.095
Bold Forbes,0,0,0,0
Holst,0,0,0.254,0.14
Conquering Hero,0.352,0.401,0.387,0.217
Ascendant I,0,0,0.538,0.29
Petit Loup,0,0,0.475,0.285
Savahra Sound,0.83,0.963,0.475,0.351
Free Round,0,0,0.343,0.176
Cagliostro,1.056,0.803,0.428,0.307
Nicolotte,0,0,0.32,0.173
Fire Dancer,0,0,0.218,0.058
Hickman Creek,6.973,2.909,0.809,0.71
Radetzky,0,0,0.277,0.096
Barn Five South,0,0,0,0
Stalwart,7.748,7.667,0.81,0.728
Moor House,0,0,0,0
Erdelistan,0,0,0.238,0.17
Perhapsburg,0,0,0.143,0.02
Prince Titian,0,0,0,0
Tom Noddy,0,0,0.353,0.125
Van Der Linden,0,0,0,0
Raised Socially,0,0,0.175,0.04
Ride The Rails,0,0,0.714,0.51
Gold And Ivory,0,0,0.252,0.096
Hawaiian Return,0.684,0.69,0.459,0.309
Sir Herbert,0,0,0.273,0.074
Silver Kite,0,0,0.053,0.007
To-Agori-Mou,0,0,0.727,0.529
Engagement,0,0,0,0
Apalachee,0,0,0.419,0.245
Prince Echo,0,0,0.335,0.152
Montcontour,0,0,0.2,0.04
Rebel Prince,0,0,0,0
Great Gladiator,0,0,0.114,0.024
Gabitat,0,0,0.1,0.014
Farma Way,0,0,0.254,0.074
Dancers Image,0,0,0.176,0.034
Snurge,0,0,0,0
Pink I,11.621,6.5,1,1
French Deputy,0,0,0.167,0.028
Valiant Nature,0,0,0,0
Fairway Phantom,2.324,1.29,0.675,0.545
Moment Of Hope,0,0,0.436,0.268
Subotica,5.811,20.4,0.5,0.5
Bell Ringer I,0,0,0.083,0.021
Forlorn River,0,0,0.091,0.008
Beaudelaire,0,0,0.091,0.008
Balleroy,3.874,2.001,0.462,0.404
Big Pistol,0,0,0.033,0.003
Lai Lai,0,0,0,0
Dancing Groom,0,0,0.591,0.368
Gregorian,0,0,0.52,0.339
Colonial Affair,0,0,0.709,0.515
Pompon Rouge,0,0,0.273,0.074
Leone,0,0,0.768,0.59
Erins Hope,0,0,0.423,0.234
Radetzky Marsch,0,0,0.857,0.735
Rakeen,0,0,0,0
Noble Bijou,0,0,0.458,0.42
LHomme Arme,0,0,0.286,0.163
Pelton Lad,0,0,0.282,0.114
Do Do,5.811,3.217,0.688,0.641
Side Track,0.726,0.665,0.594,0.405
Saint Andrews I,0,0,0.4,0.285
Champ Libre,0,0,0.169,0.045
Dual,7.748,12.593,0.667,0.667
Grey Steel,0,0,0,0
Le Dauphin,0,0,0,0
Streetfighter,0,0,0.231,0.107
Ore,0,0,0.307,0.097
Official,0,0,0.071,0.005
Forever Sparkle,0,0,0.444,0.198
Masked Dancer,5.811,4.951,0.914,0.843
Amboise,0,0,0.167,0.028
Reformed Character,0,0,0.437,0.338
Hot Brandy,0,0,0.333,0.176
Pevero,0,0,0,0
Backchat,0,0,0.182,0.033
Doctor Wall,5.811,13.887,0.733,0.609
El Condor,2.905,1.735,0.522,0.37
Autre Prince,0,0,0.583,0.34
State Diplomacy,0,0,0.2,0.04
Giacometti,0,0,0.525,0.311
Waylay,0,0,0.25,0.125
Sayaarr,0,0,0,0
Actinium,0,0,0.107,0.023
Alycos,0,0,0,0
Hittite Glory,0,0,0,0
Some Buck,0,0,0,0
Jupiter Pluvius,0,0,0.538,0.315
Iron Ruler,0,0,0.357,0.128
Three Legs,0,0,0.885,0.787
Battle Hymn I,0,0,0,0
General View,0,0,0.056,0.006
Prince Mab,5.811,3.162,0.667,0.611
Nebbiolo,3.874,2.971,0.679,0.609
Go Marching,0,0,0.419,0.176
Leander I,0,0,0.486,0.256
Veloski,5.811,9.92,0.808,0.689
Red Regent,0,0,0.144,0.051
Amarko,0,0,0.467,0.218
Kaaptive Edition,0,0,0.429,0.184
Roc Imp,0,0,0,0
Bishop Of Orange,4.981,5.516,0.713,0.618
Nucleon,0,0,0.307,0.162
Antuco,0,0,0,0
Hasty Tudor,0,0,0.083,0.007
American Chance,0,0,0.455,0.207
West China,0,0,0.375,0.141
Dirak Creiomin,1.291,0.721,0.721,0.591
English Prince,0,0,0.341,0.138
Solar Topic,0,0,0,0
Private Walk,0,0,0,0
Haltea,0,0,0,0
Vin St Benet,0,0,0,0
Concertino,0,0,0,0
Le Patron,1.056,0.521,0.694,0.575
Wauthi,0,0,0.512,0.351
Fordham,0,0,0.466,0.268
Asir,1.162,1.536,0.431,0.299
Gianchi,2.113,1.018,0.513,0.4
Super Slip,1.453,1.016,0.488,0.349
Riboprince,0,0,0.221,0.097
The Prime Minister,6.641,4.313,0.772,0.691
Rheffic,1.453,0.858,0.656,0.544
Timeless Moment,0,0,0.504,0.311
Salute The Brave,0,0,0.582,0.407
Niels,0,0,0.385,0.224
Wood Chanter,1.107,1.583,0.494,0.348
Syrtos,0,0,0.056,0.009
Stetchworth,0,0,0.417,0.265
Mississippi,1.223,1.186,0.582,0.393
Patch,1.162,0.649,0.678,0.522
Executive Pride,0,0,0.29,0.125
Tower Shoot,0,0,0.163,0.077
Sharp Edge,0,0,0,0
Hildenley I,0,0,0.596,0.365
Young Emperor,0,0,0.206,0.071
Country Light,0,0,0.248,0.12
Sobar,0,0,0.119,0.028
Le Fabuleux,0,0,0.504,0.284
Convinced,1.162,1.482,0.429,0.284
Jeu De Paille,1.162,0.737,0.628,0.476
Saronicos,0,0,0.453,0.289
Lampon,3.874,1.715,0.759,0.684
Winden,2.324,1.373,0.55,0.43
Borovoe,0,0,0,0
Parliament I,1.056,0.992,0.56,0.38
Steel Heart I,1.937,2.11,0.405,0.257
Noblequest,0,0,0.6,0.36
Boyatino,0,0,0.576,0.436
King Emperor,0,0,0.495,0.285
Frimaire,0,0,0.449,0.259
Policeman,0,0,0.397,0.221
Herodias,2.324,1.995,0.608,0.485
Desert Style,1.056,1.196,0.318,0.209
Hardicanute,0,0,0.133,0.018
LEnjoleur,0,0,0.526,0.287
General II,1.056,0.699,0.662,0.521
Treasure Hunter,0,0,0.433,0.229
Tarleton Oak,0,0,0.358,0.215
Wylfa,0,0,0.686,0.512
Where To Dance,0.93,0.932,0.481,0.331
Gone Native,2.905,2.987,0.356,0.287
Midhish,0,0,0.181,0.048
Sayfar,1.788,1.564,0.76,0.623
Loose Cannon,0,0,0.376,0.142
Ferdinand,0,0,0.192,0.067
Spartan Jester,0,0,0.628,0.409
Lanfranco,0,0,0.24,0.097
Cajun,0,0,0.346,0.188
Plenty Old,1.056,1.146,0.531,0.397
Tacheron,0,0,0.326,0.215
Hays,0,0,0.104,0.017
Octavo,0,0,0.597,0.429
Bar Dexter,0,0,0.38,0.22
Mr Fordette,0,0,0.1,0.014
Carr De Naskra,0,0,0.141,0.034
Bassenthwaite,1.291,0.564,0.814,0.697
Alflora,2.905,4.639,0.471,0.369
Greenwood,0,0,0.308,0.113
Al Riad,0,0,0.679,0.524
Smooth Stepper I,1.937,1.612,0.596,0.454
Walshford,0,0,0.639,0.473
Real Value,0,0,0.637,0.498
Never Return,1.937,1.658,0.809,0.684
Deroulede,1.453,1.653,0.637,0.46
Full Pocket,0,0,0.111,0.012
Brewery Boy,0,0,0.51,0.355
Tesoro Mio,0,0,0.525,0.338
Piling,7.748,2.011,0.979,0.96
Arokar,1.937,3.329,0.384,0.277
Aguarico,0,0,0.444,0.268
Ali-Royal,0,0,0.48,0.255
Halpern Bay,0,0,0.483,0.285
Concorde Jr,3.874,1.201,0.739,0.61
Lost World,0,0,0.473,0.278
Rustan,3.874,1.21,0.761,0.645
Presidential I,0,0,0.675,0.494
Caveat,0,0,0.67,0.45
Hatchet Man,0,0,0.441,0.255
Vanlandingham,7.748,1.567,0.81,0.728
Defensive Play,7.748,2.609,0.889,0.815
Gosport,5.811,8.029,0.812,0.695
Senor Pete,0,0,0.47,0.224
Vaguely Pleasant,0,0,0,0
On To Glory,0,0,0.387,0.18
Sword Dance,0,0,0.505,0.255
Bartok I,0,0,0.143,0.041
Tiepolo II,0,0,0.221,0.098
King Pellinore,0,0,0.439,0.267
Dancing Lights,0,0,0.071,0.005
Pedigree Unregistered,0,0,0.246,0.137
His Turn,0,0,0.292,0.094
Karabas,0,0,0.203,0.064
Milk Of The Barley,0,0,0.326,0.212
Deep Society,0,0,0.079,0.012
Hawk Wing,0,0,0,0
Sire Unregistered,0,0,0.166,0.056
Romantic Lead,0,0,0.176,0.062
Sarab,0,0,0.155,0.038
Roi Dagobert,0,0,0,0
Garland Knight,0,0,0.237,0.081
Amazing Bust,0,0,0.409,0.201
Abbeys Grey,0,0,0.421,0.278
Bruni,0,0,0.433,0.216
Ginger Boy I,11.621,4.54,1,1
Weld,1.66,0.903,0.755,0.634
Amyntor,0,0,0.585,0.379
Days At Sea,2.905,0.939,0.604,0.532
Milan I,0,0,0.367,0.136
Raconteur I,0,0,0.395,0.187
Gardas Revenge,0,0,0.054,0.003
Sandford Lad,0,0,0.281,0.127
Always A Rainbow,2.324,1.614,0.763,0.63
Irish Love I,0,0,0.124,0.016
Stay For Lunch,0,0,0.395,0.231
Lively One,0,0,0.059,0.005
Diamonds Are Trump,0,0,0.217,0.047
Air De Cour,3.32,1.542,0.73,0.646
Le Soleil,0,0,0.523,0.411
Hardgreen,0,0,0.095,0.018
Lord Nelson,0,0,0.387,0.225
Crown Lease,0,0,0,0
Cresta Rider,1.937,0.912,0.671,0.59
Executive Man,0,0,0.094,0.018
Barrons Court,0,0,0.506,0.257
The Expatriate,0,0,0.826,0.682
Pretense,0,0,0.5,0.294
Bricassar,0,0,0.375,0.192
Soldier Rose,1.66,0.838,0.86,0.747
Strange Love,0,0,0.875,0.77
Charlottesvilles Flyer,0,0,0.405,0.328
Orange Reef,5.811,1.557,0.81,0.692
Dramatic Bid,0,0,0.444,0.279
Kashiwa,0,0,0,0
Tony Nobles,3.874,3.223,0.775,0.63
Lightning Leap,0,0,0.282,0.119
Citheron,0,0,0.552,0.376
Carefree Dancer,0,0,0.316,0.1
Dance Bid,0,0,0.625,0.406
Husyan,0,0,0.59,0.424
Goofalik,0,0,0.055,0.005
The Bart,0,0,0.331,0.186
Buckpasser,0,0,0.145,0.032
Ghost BusterS,0,0,0.333,0.123
Presenting,0,0,0.233,0.059
Treasure Bay,5.811,8.75,0.5,0.5
Amazon,0,0,0.633,0.45
Nepotism I,0,0,0.252,0.078
Huntingdale,11.621,17,1,1
Avies Copy,0,0,0.094,0.016
Sir Mordred,0,0,0.316,0.131
Two Punch,0,0,0,0
Glad Dancer,0,0,0.894,0.801
Riverhead,0,0,0.287,0.108
Ete Indien I,0,0,0.331,0.113
Majority Blue,0,0,0.299,0.136
Youth,2.905,2.324,0.546,0.442
Smoggy,0,0,0.214,0.046
Valdingran,1.162,0.819,0.65,0.526
Daring Display,0,0,0.207,0.074
Pancho Villa,0,0,0,0
Personal Flag,0,0,0.876,0.77
Ben Fab,0,0,0.5,0.25
Riverton,0,0,0.87,0.756
Medieval Man,2.905,1.286,0.653,0.492
Sovereign Path,0,0,0.344,0.156
Grauer Wicht,5.811,1.481,0.952,0.909
Alphabatim,0,0,0.251,0.095
Red Alert I,0,0,0,0
Harp Islet,0,0,0.206,0.05
Naheez,0,0,0.2,0.08
Little Bighorn,3.874,1.465,0.633,0.51
Pedigree Unknown,0,0,0.538,0.29
Transworld,0,0,0.375,0.141
Dr Blum,0,0,0.615,0.379
My Swanee,2.905,3.451,0.448,0.372
Doonesbury,0,0,0.226,0.055
Lydian,3.874,8.029,0.617,0.47
Personal Hope,0,0,0.121,0.018
Broussard,0,0,0,0
Sefapiano,0,0,0.458,0.253
General Meeting,0,0,0.833,0.694
Baba Karam,0,0,0.381,0.145
First Consul,0,0,0.702,0.512
Le Levanstell,0,0,0.102,0.016
Garryowen I,0,0,0.156,0.049
Cidrax,0,0,0.133,0.018
Frazer,0,0,0.24,0.058
Vaquillo,0,0,0.045,0.002
Never Slip,0,0,0,0
Maris Book,0,0,0.132,0.03
Tornabuoni,0,0,0.118,0.028
Sanctus II,0,0,0,0
Kronenkranich,0,0,0.588,0.346
Seaepic,0,0,0,0
Fujiwara,0,0,0.452,0.409
Acceglio,0,0,0.896,0.806
Lomitas,0,0,0.857,0.735
Desert King,0,0,0.545,0.333
Jacksons Drift,0,0,0.174,0.034
Krisinsky,0,0,0.467,0.218
Arch Sculptor,0,0,0,0
Kashnil,0,0,0,0
Faberge II,0,0,0,0
Track Spare,0,0,0.267,0.071
Tout Ensemble,0,0,0.872,0.764
Moyrath Response,0,0,0.6,0.36
Copper Gamble,0,0,0.357,0.128
Rugged Man,0,0,0.571,0.327
Crepello,0,0,0.19,0.036
Nityo,0,0,0.455,0.207
Leap High,0,0,0.4,0.32
Kamehameha I,0,0,0.13,0.034
