damsire,IV,A/E,PRB,PRB2
Lyphards Special,1.423,1.107,0.612,0.47
Rudimentary,1.512,1.118,0.564,0.419
Shavian,2.039,1.934,0.555,0.401
Galetto,0.408,0.443,0.464,0.297
Nebos,1.162,0.893,0.557,0.409
Beau Genius,0,0,0.42,0.26
Green Dancer,1.028,0.892,0.48,0.338
Kingmambo,1.516,1.095,0.584,0.435
Tanfirion,0.762,0.717,0.497,0.346
Le Johnstan,0.553,0.558,0.536,0.366
Mango Express,0.775,1.23,0.468,0.309
Private Account,1.211,0.949,0.474,0.331
Elegant Air,1.214,0.845,0.524,0.38
Petorius,1.091,0.959,0.475,0.339
Lahib,0.961,0.744,0.501,0.359
Surumu,1.018,0.757,0.539,0.386
Gone West,1.414,0.954,0.515,0.38
Salmon Leap,1.453,0.858,0.541,0.401
Selkirk,1.196,0.907,0.527,0.38
Tenby,0.408,0.388,0.499,0.336
Common Grounds,0.792,0.712,0.478,0.326
Danehill,1.399,1.059,0.524,0.378
Miswaki,1.021,0.877,0.497,0.352
Northiam,0.43,0.434,0.302,0.169
Catrail,0.387,0.452,0.416,0.258
Primo Dominie,1.125,0.965,0.496,0.352
Mind Games,0.375,0.285,0.509,0.328
Jalmood,0.511,0.581,0.393,0.244
Piccolo,0.811,0.678,0.588,0.411
Music Boy,0.953,0.954,0.493,0.346
Junius,0.904,0.85,0.489,0.34
Star De Naskra,1.66,1.613,0.562,0.434
Jellaby,0.93,0.917,0.523,0.353
Wolfhound,0.959,0.868,0.466,0.321
Distant Relative,1.135,0.863,0.504,0.359
Ogygian,0.684,0.582,0.468,0.296
Marju,1.3,0.866,0.557,0.408
Kahyasi,1.112,0.806,0.533,0.384
Cadeaux Genereux,0.996,0.801,0.508,0.361
Lyphards Wish,1.55,1.068,0.597,0.464
Mujtahid,0.741,0.671,0.448,0.298
Mujadil,0.47,0.514,0.41,0.26
Out Of Place,0,0,0.276,0.152
Frimley Park,0,0,0.532,0.324
Lafontaine I,0.953,0.711,0.526,0.379
Elocutionist,0,0,0.523,0.332
Vayrann,0.62,0.641,0.47,0.323
Fools Holme,0.84,0.636,0.502,0.361
Never So Bold,0.67,0.671,0.481,0.323
Faustus,0.734,0.588,0.452,0.31
Anabaa,1.384,1.355,0.498,0.341
Kings Theatre,0.484,0.598,0.518,0.37
Lure,0,0,0.29,0.14
Lead On Time,1.127,0.827,0.519,0.376
Fuzzbuster,1.011,1.217,0.445,0.284
Polar Falcon,1.062,0.787,0.513,0.37
Domynsky,1.036,1.004,0.53,0.386
Emarati,0.587,0.53,0.464,0.312
Lear Fan,1.339,1.041,0.507,0.364
Milford,1.409,1.112,0.527,0.383
Bairn,0.588,0.795,0.325,0.194
Local Suitor,0.547,0.506,0.421,0.286
Clantime,1.356,1.023,0.582,0.433
Rock Hopper,0.775,0.6,0.499,0.349
